family,n,coverage,mean_width,avg_cal_n,reliable
airway_neck,77,0.7532467532467533,0.1554569478274228,20.2,1
costal_cartilage,49,0.8367346938775511,0.16443326468375666,13.0,1
digestive,200,0.855,0.24723863528767986,52.4,1
great_vessel,570,0.8017543859649123,0.17638417720369945,153.2,1
heart,80,0.775,0.124677827963156,22.2,1
lung,233,0.8197424892703863,0.09411210124372946,61.8,1
muscle,313,0.8338658146964856,0.09421620883949433,81.6,1
neuro,85,0.8,0.11402495471444887,20.2,1
pelvic_bone,116,0.8275862068965517,0.05747815025403223,31.0,1
reproductive,14,0.6428571428571429,0.39992587372004634,3.4,0
rib,939,0.805111821086262,0.20032307255710524,257.8,1
shoulder_bone,263,0.8821292775665399,0.11484927434420177,68.8,1
solid_abdominal,153,0.8235294117647058,0.1427643846472869,42.6,1
urinary,172,0.7790697674418605,0.21367001027318364,47.4,1
vertebrae,753,0.8273572377158035,0.14541898714377063,201.6,1
