alpha,nominal,variant,coverage,mean_width,median_width,spearman_width_err
0.2,0.8,uncalibrated (raw quantiles),0.5200398307194424,0.11759952826376642,0.057992351439979495,0.45829138073880044
0.2,0.8,CQR global,0.8073188946975355,0.15126513672156064,0.09201064071070086,0.4520599111821516
0.2,0.8,"CQR global (clipped [0,1])",0.8073188946975355,0.15047361238711301,0.09115013538751615,0.45985635654968193
0.2,0.8,Mondrian (per-family),0.8177744585511576,0.16257862655922384,0.10467813295966188,0.4778263536483759
0.2,0.8,"Mondrian (clipped [0,1])",0.8177744585511576,0.15926514942560832,0.10261063038575335,0.48705268811525565
0.1,0.9,uncalibrated (raw quantiles),0.6415235250186706,0.1567137814450452,0.08746873418444545,0.4560270638679914
0.1,0.9,CQR global,0.90739357729649,0.21982667116450436,0.1567863765725912,0.43635084405551805
0.1,0.9,"CQR global (clipped [0,1])",0.90739357729649,0.2123144004357272,0.14506612570014232,0.4622214277543325
0.1,0.9,Mondrian (per-family),0.9153597211849639,0.25935831173602175,0.20528088805203826,0.44282923727829737
0.1,0.9,"Mondrian (clipped [0,1])",0.9153597211849639,0.2332916811548905,0.17365674041033863,0.4793187033837719
