organ,n,n_accept,accept_rate,mean_iou_accepted,mean_iou_rejected
adrenal_gland_left,36,11,0.3056,0.9225,0.7169
adrenal_gland_right,37,13,0.3514,0.9221,0.7469
aorta,50,47,0.9400,0.9675,0.6043
atrial_appendage_left,37,24,0.6486,0.9266,0.8412
autochthon_left,49,49,1.0000,0.9559,
autochthon_right,49,49,1.0000,0.9540,
brachiocephalic_trunk,37,21,0.5676,0.9299,0.8510
brachiocephalic_vein_left,38,26,0.6842,0.9406,0.7013
brachiocephalic_vein_right,38,18,0.4737,0.9258,0.7523
brain,13,8,0.6154,0.9595,0.4923
clavicula_left,37,37,1.0000,0.9664,
clavicula_right,37,35,0.9459,0.9564,0.8631
colon,40,18,0.4500,0.9255,0.8014
common_carotid_artery_left,38,25,0.6579,0.9306,0.8319
common_carotid_artery_right,37,11,0.2973,0.9226,0.8134
costal_cartilages,49,8,0.1633,0.9120,0.8317
duodenum,35,6,0.1714,0.9172,0.6904
esophagus,49,34,0.6939,0.9297,0.8500
femur_left,23,22,0.9565,0.9718,0.1447
femur_right,22,22,1.0000,0.9808,
gallbladder,31,12,0.3871,0.9298,0.6966
gluteus_maximus_left,23,22,0.9565,0.9600,0.5535
gluteus_maximus_right,23,22,0.9565,0.9668,0.8018
gluteus_medius_left,23,21,0.9130,0.9537,0.8702
gluteus_medius_right,24,22,0.9167,0.9553,0.4450
gluteus_minimus_left,23,19,0.8261,0.9345,0.8563
gluteus_minimus_right,23,22,0.9565,0.9417,0.8585
heart,43,39,0.9070,0.9331,0.8696
hip_left,24,24,1.0000,0.9722,
hip_right,24,24,1.0000,0.9793,
humerus_left,33,25,0.7576,0.9627,0.6741
humerus_right,33,31,0.9394,0.9568,0.4467
iliac_artery_left,24,12,0.5000,0.9287,0.8431
iliac_artery_right,24,15,0.6250,0.9286,0.7893
iliac_vena_left,24,15,0.6250,0.9258,0.8473
iliac_vena_right,24,13,0.5417,0.9292,0.7961
iliopsoas_left,37,24,0.6486,0.9526,0.7650
iliopsoas_right,40,25,0.6250,0.9579,0.7291
inferior_vena_cava,46,21,0.4565,0.9328,0.7752
kidney_cyst_left,2,0,0.0000,,0.0000
kidney_cyst_right,1,0,0.0000,,0.0000
kidney_left,36,29,0.8056,0.9697,0.6883
kidney_right,36,29,0.8056,0.9691,0.6353
liver,44,43,0.9773,0.9721,0.8789
lung_lower_lobe_left,48,41,0.8542,0.9804,0.4831
lung_lower_lobe_right,46,42,0.9130,0.9829,0.3719
lung_middle_lobe_right,43,36,0.8372,0.9660,0.7497
lung_upper_lobe_left,49,45,0.9184,0.9831,0.8192
lung_upper_lobe_right,47,40,0.8511,0.9761,0.5154
pancreas,37,14,0.3784,0.9317,0.7597
portal_vein_and_splenic_vein,38,1,0.0263,0.9156,0.6798
prostate,15,0,0.0000,,0.6531
pulmonary_vein,39,27,0.6923,0.9308,0.8529
rib_left_1,38,27,0.7105,0.9354,0.8228
rib_left_10,40,31,0.7750,0.9605,0.6371
rib_left_11,39,31,0.7949,0.9582,0.6227
rib_left_12,37,23,0.6216,0.9349,0.6648
rib_left_2,38,35,0.9211,0.9531,0.8568
rib_left_3,41,34,0.8293,0.9483,0.4689
rib_left_4,40,33,0.8250,0.9542,0.5793
rib_left_5,42,31,0.7381,0.9548,0.4755
