subject,organ,accept,dice,iou,tp,fp,fn,pred_vox,gt_vox,status,num_voxels,volume_mm3,is_empty,centroid_x_rel,centroid_y_rel,centroid_z_rel,bbox_x_rel,bbox_y_rel,bbox_z_rel,bbox_volume_mm3,mask_to_bbox_ratio,num_components,largest_component_fraction,touches_boundary,boundary_fraction,mean_HU,median_HU,std_HU,p05_HU,p95_HU,orig_axcodes
s0324,adrenal_gland_left,0,0.8253,0.7025,718,38,266,756,984,ok,756,2551.5,0,0.4211,0.4407,0.7941,0.0448,0.0846,0.0843,11360.25,0.2246,1,1.0,0,0.0,16.81,16.0,54.37,-68.25,109.0,RAS
s0324,adrenal_gland_right,0,0.87,0.77,395,89,29,484,424,ok,484,1633.5,0,0.6109,0.4424,0.7752,0.0448,0.0796,0.0728,9234.0,0.1769,1,1.0,0,0.0,13.78,15.0,58.8,-82.7,105.0,RAS
s0324,aorta,0,0.9411,0.8888,15716,288,1678,16004,17394,ok,16004,54013.5,0,0.4914,0.4796,0.8088,0.1294,0.1891,0.4828,420147.0,0.1286,1,1.0,1,0.0133,32.14,32.0,53.98,-51.0,117.0,RAS
s0324,autochthon_left,1,0.9878,0.976,81173,1028,969,82201,82142,ok,82201,277428.38,0,0.4276,0.2545,0.6866,0.209,0.1542,0.6667,764599.5,0.3628,1,1.0,1,0.0034,37.68,41.0,55.32,-57.0,121.0,RAS
s0324,autochthon_right,1,0.9876,0.9755,77444,988,958,78432,78402,ok,78432,264708.0,0,0.6229,0.2676,0.6773,0.2289,0.1592,0.6705,869400.0,0.3045,1,1.0,1,0.003,35.57,39.0,58.41,-67.0,122.0,RAS
s0324,colon,0,0.8839,0.7919,204812,11829,41990,216641,246802,ok,216641,731163.38,0,0.4945,0.5665,0.4929,0.6716,0.5572,0.6705,8930250.0,0.0819,4,0.8188,0,0.0,-268.82,-79.0,530.02,-992.0,675.0,RAS
s0324,costal_cartilages,0,0.9334,0.8752,14435,929,1130,15364,15565,ok,15364,51853.5,0,0.4679,0.7297,0.8837,0.7512,0.2637,0.2912,2052769.5,0.0253,7,0.526,1,0.0174,111.58,104.0,87.25,24.0,193.0,RAS
s0324,duodenum,0,0.7827,0.643,7010,1224,2668,8234,9678,ok,8234,27789.75,0,0.5275,0.5852,0.6817,0.2488,0.194,0.2299,394875.0,0.0704,1,1.0,0,0.0,-97.02,22.0,321.86,-952.0,103.0,RAS
s0324,esophagus,0,0.9453,0.8962,1399,89,73,1488,1472,ok,1488,5022.0,0,0.4838,0.4964,0.9536,0.0697,0.0846,0.092,19278.0,0.2605,1,1.0,1,0.041,27.25,28.0,46.96,-46.0,103.0,RAS
s0324,femur_left,1,0.9885,0.9773,30463,86,620,30549,31083,ok,30549,103102.88,0,0.16,0.4248,0.1484,0.2239,0.1841,0.272,398975.62,0.2584,1,1.0,1,0.007,312.73,192.0,410.12,-107.0,1290.0,RAS
s0324,femur_right,1,0.9901,0.9805,29965,145,452,30110,30417,ok,30110,101621.25,0,0.8168,0.4716,0.131,0.2289,0.1692,0.249,343102.5,0.2962,1,1.0,1,0.0078,290.76,193.0,374.07,-104.0,1155.55,RAS
s0324,gallbladder,0,0.8678,0.7665,3336,360,656,3696,3992,ok,3696,12474.0,0,0.6461,0.6517,0.7446,0.1045,0.1493,0.0843,46777.5,0.2667,1,1.0,0,0.0,8.53,7.0,47.54,-69.0,88.0,RAS
s0324,gluteus_maximus_left,1,0.9862,0.9728,95102,1358,1302,96460,96404,ok,96460,325552.5,0,0.2341,0.2649,0.1966,0.403,0.1741,0.4406,1100334.38,0.2959,1,1.0,1,0.0066,38.54,40.0,48.82,-43.0,116.0,RAS
s0324,gluteus_maximus_right,1,0.9859,0.9721,98586,894,1931,99480,100517,ok,99480,335745.0,0,0.7671,0.3021,0.1785,0.408,0.2338,0.41,1391775.75,0.2412,1,1.0,1,0.0094,39.01,40.0,50.26,-45.0,119.0,RAS
s0324,gluteus_medius_left,1,0.9781,0.9571,41788,1139,732,42927,42520,ok,42927,144878.62,0,0.1308,0.3839,0.3582,0.2836,0.2488,0.2874,721406.25,0.2008,1,1.0,0,0.0,41.61,44.0,52.5,-48.0,123.0,RAS
s0324,gluteus_medius_right,1,0.9828,0.9662,43374,1066,453,44440,43827,ok,44440,149985.0,0,0.8819,0.4364,0.325,0.2537,0.2786,0.3295,828954.0,0.1809,1,1.0,0,0.0,40.93,42.0,55.32,-52.0,128.0,RAS
s0324,gluteus_minimus_left,1,0.9626,0.928,8475,324,334,8799,8809,ok,8799,29696.62,0,0.1305,0.45,0.3002,0.1443,0.1692,0.1762,153076.5,0.194,1,1.0,0,0.0,40.59,43.0,60.53,-59.0,129.0,RAS
