organ,n_scored,mean_dice,mean_iou,n_accept,accept_rate,n_ok,n_low_dice,n_miss,n_false_positive
adrenal_gland_left,36,0.8621,0.7797,11,0.3056,35,1,0,0
adrenal_gland_right,36,0.8964,0.8309,13,0.3514,35,1,0,1
aorta,50,0.9681,0.9457,47,0.9400,50,0,0,0
atrial_appendage_left,37,0.9447,0.8966,24,0.6486,37,0,0,0
autochthon_left,49,0.9774,0.9559,49,1.0000,49,0,0,0
autochthon_right,49,0.9764,0.9540,49,1.0000,49,0,0,0
brachiocephalic_trunk,37,0.9439,0.8958,21,0.5676,37,0,0,0
brachiocephalic_vein_left,37,0.9281,0.8884,26,0.6842,36,1,0,1
brachiocephalic_vein_right,38,0.8967,0.8345,18,0.4737,37,1,0,0
brain,11,0.9576,0.9216,8,0.6154,11,0,1,1
clavicula_left,37,0.9828,0.9664,37,1.0000,37,0,0,0
clavicula_right,37,0.9748,0.9514,35,0.9459,37,0,0,0
colon,40,0.9189,0.8573,18,0.4500,40,0,0,0
common_carotid_artery_left,38,0.9445,0.8968,25,0.6579,38,0,0,0
common_carotid_artery_right,37,0.9137,0.8459,11,0.2973,37,0,0,0
costal_cartilages,49,0.9134,0.8448,8,0.1633,49,0,0,0
duodenum,33,0.8630,0.7735,6,0.1714,32,1,0,2
esophagus,49,0.9496,0.9053,34,0.6939,49,0,0,0
femur_left,23,0.9537,0.9358,22,0.9565,22,1,0,0
femur_right,22,0.9903,0.9808,22,1.0000,22,0,0,0
gallbladder,30,0.8845,0.8131,12,0.3871,29,1,1,0
gluteus_maximus_left,23,0.9679,0.9423,22,0.9565,23,0,0,0
gluteus_maximus_right,23,0.9790,0.9596,22,0.9565,23,0,0,0
gluteus_medius_left,23,0.9722,0.9464,21,0.9130,23,0,0,0
gluteus_medius_right,23,0.9755,0.9525,22,0.9167,23,0,0,1
gluteus_minimus_left,23,0.9585,0.9209,19,0.8261,23,0,0,0
gluteus_minimus_right,23,0.9679,0.9381,22,0.9565,23,0,0,0
heart,43,0.9621,0.9272,39,0.9070,43,0,0,0
hip_left,24,0.9858,0.9722,24,1.0000,24,0,0,0
hip_right,24,0.9895,0.9793,24,1.0000,24,0,0,0
humerus_left,32,0.9560,0.9206,25,0.7576,32,0,1,0
humerus_right,32,0.9768,0.9548,31,0.9394,32,0,1,0
iliac_artery_left,24,0.9381,0.8859,12,0.5000,24,0,0,0
iliac_artery_right,24,0.9302,0.8764,15,0.6250,24,0,0,0
iliac_vena_left,24,0.9447,0.8963,15,0.6250,24,0,0,0
iliac_vena_right,24,0.9260,0.8682,13,0.5417,24,0,0,0
iliopsoas_left,36,0.9521,0.9114,24,0.6486,36,0,1,0
iliopsoas_right,39,0.9407,0.8944,25,0.6250,39,0,0,1
inferior_vena_cava,46,0.9071,0.8471,21,0.4565,45,1,0,0
kidney_cyst_left,0,,,0,0.0000,0,0,0,2
kidney_cyst_right,0,,,0,0.0000,0,0,0,1
kidney_left,35,0.9681,0.9412,29,0.8056,35,0,0,1
kidney_right,35,0.9607,0.9301,29,0.8056,35,0,0,1
liver,44,0.9846,0.9700,43,0.9773,44,0,0,0
lung_lower_lobe_left,47,0.9492,0.9272,41,0.8542,45,2,0,1
lung_lower_lobe_right,45,0.9667,0.9504,42,0.9130,44,1,0,1
lung_middle_lobe_right,43,0.9613,0.9308,36,0.8372,43,0,0,0
lung_upper_lobe_left,49,0.9840,0.9697,45,0.9184,49,0,0,0
lung_upper_lobe_right,46,0.9530,0.9272,40,0.8511,45,1,0,1
pancreas,36,0.9111,0.8477,14,0.3784,36,0,0,1
portal_vein_and_splenic_vein,35,0.8412,0.7448,1,0.0263,34,1,1,2
prostate,13,0.8435,0.7536,0,0.0000,12,1,1,1
pulmonary_vein,39,0.9505,0.9068,27,0.6923,39,0,0,0
rib_left_1,38,0.9474,0.9028,27,0.7105,38,0,0,0
rib_left_10,40,0.9226,0.8877,31,0.7750,39,1,0,0
rib_left_11,39,0.9249,0.8894,31,0.7949,38,1,0,0
rib_left_12,36,0.9143,0.8558,23,0.6216,35,1,0,1
rib_left_2,38,0.9717,0.9455,35,0.9211,38,0,0,0
rib_left_3,38,0.9655,0.9348,34,0.8293,38,0,0,3
rib_left_4,39,0.9457,0.9113,33,0.8250,38,1,0,1
rib_left_5,39,0.9270,0.8931,31,0.7381,37,2,1,2
rib_left_6,41,0.8881,0.8486,31,0.7381,38,3,1,0
rib_left_7,40,0.8788,0.8386,32,0.8000,36,4,0,0
rib_left_8,41,0.8681,0.8268,29,0.7073,37,4,0,0
rib_left_9,40,0.8930,0.8477,29,0.7250,37,3,0,0
rib_right_1,37,0.9517,0.9089,26,0.6842,37,0,0,1
rib_right_10,39,0.8862,0.8533,30,0.7692,36,3,0,0
rib_right_11,39,0.8745,0.8423,29,0.7436,35,4,0,0
