config,kind,n_features,auc,pr_auc_rej,within_organ_auc,n_organs_within,delta_auc,delta_within
ALL,full,19,0.8698419684994152,0.7303204316463605,0.7616531660592878,66,0.0,0.0
without size,drop_group,16,0.8602370374624124,0.7137513737478307,0.7439811226150619,66,-0.009604931037002773,-0.017672043444225904
without position,drop_group,16,0.8654906696353992,0.7298086730477038,0.7642123021418432,66,-0.004351298864015973,0.0025591360825554244
without extent,drop_group,15,0.8676292860424324,0.7216848146055339,0.7630538924619027,66,-0.0022126824569828063,0.0014007264026149047
without component,drop_group,17,0.8154486118651854,0.6413596633503417,0.6341013524685598,66,-0.05439335663422984,-0.12755181359072798
without boundary,drop_group,17,0.8698698656239559,0.731286151840291,0.7627601537887325,66,2.7897124540654517e-05,0.0011069877294447306
without intensity,drop_group,14,0.8619898252171735,0.7179737997702497,0.7604195966989893,66,-0.007852143282241708,-0.0012335693602985032
only size,only_group,3,0.7020549576616271,0.4853570491456508,0.6067088457568238,66,-0.16778701083778813,-0.15494432030246397
only position,only_group,3,0.6866095759898095,0.4589215796968941,0.5548906641715344,66,-0.18323239250960566,-0.20676250188775336
only extent,only_group,4,0.7496782857918477,0.5306914056038259,0.6000614653974793,66,-0.1201636827075675,-0.1615917006618085
only component,only_group,2,0.6399466593927499,0.46544813779956334,0.6146442701859635,66,-0.22989530910666534,-0.14700889587332433
only boundary,only_group,2,0.5524860742774808,0.3149418657713986,0.551020685753145,66,-0.31735589422193444,-0.2106324803061428
only intensity,only_group,5,0.6748699439316739,0.3968783759471045,0.5640002191862833,66,-0.19497202456774132,-0.1976529468730045
without largest_component_fraction,drop_feature,18,0.8502136495573003,0.6786276068868099,0.7275658935625985,66,-0.01962831894211492,-0.0340872724966893
without num_voxels,drop_feature,18,0.8689383300618108,0.7285815681617649,0.7622427201916038,66,-0.0009036384376044371,0.0005895541323159836
without volume_mm3,drop_feature,18,0.8689128800534581,0.7287350919008547,0.7619585270963519,66,-0.0009290884459570714,0.00030536103706413353
without bbox_volume_mm3,drop_feature,18,0.8678534418852322,0.7282679750767159,0.7597364372815855,66,-0.0019885266141830282,-0.0019167287777023256
without bbox_y_rel,drop_feature,18,0.8669594287712997,0.7253125790708788,0.7607442116571077,66,-0.002882539728115474,-0.0009089544021800844
without centroid_y_rel,drop_feature,18,0.8675343379343468,0.7284155401031579,0.7635618459059338,66,-0.0023076305650684414,0.0019086798466459998
only largest_component_fraction,only_feature,1,0.6195013299260774,0.4628567504455845,0.5995492255167177,66,-0.25034063857333777,-0.16210394054257005
only num_voxels,only_feature,1,0.629610856320999,0.4151319216538514,0.5956881862871103,66,-0.2402311121784162,-0.1659649797721775
only volume_mm3,only_feature,1,0.6293317219345138,0.41447611683790986,0.5941082605070015,66,-0.2405102465649014,-0.1675449055522863
only bbox_volume_mm3,only_feature,1,0.6220212070351654,0.40552804918351926,0.5810811604265409,66,-0.2478207614642498,-0.1805720056327469
only bbox_y_rel,only_feature,1,0.6129149982772302,0.3534706877701458,0.5489006096312988,66,-0.256926970222185,-0.21275255642798896
only centroid_y_rel,only_feature,1,0.5668385738598396,0.3107859640583732,0.5238291255267237,66,-0.3030033946395756,-0.23782404053256412
