subject,organ,iou,pred_iou_HistGB,pred_iou_RandomForest
s0324,adrenal_gland_left,0.7025,0.8654120562324951,0.7651438915223665
s0324,adrenal_gland_right,0.77,0.7750262412344233,0.7323246980158725
s0324,aorta,0.8888,0.9424532854949216,0.8938107711640206
s0324,autochthon_left,0.976,0.9478717226888783,0.9548569535714286
s0324,autochthon_right,0.9755,0.9446921928022383,0.954146826984127
s0324,colon,0.7919,0.8231061618095719,0.8261273111111114
s0324,costal_cartilages,0.8752,0.8343498600447042,0.8586617247354489
s0324,duodenum,0.643,0.8481919238195911,0.8744778330687827
s0324,esophagus,0.8962,0.8789319168671951,0.8784990533068782
s0324,femur_left,0.9773,0.9685235555200326,0.9549603213203468
s0324,femur_right,0.9805,0.9416740288538663,0.9558213198412695
s0324,gallbladder,0.7665,0.8784235960087149,0.8297328499999996
s0324,gluteus_maximus_left,0.9728,0.9580868075433173,0.9503876305555561
s0324,gluteus_maximus_right,0.9721,0.9531167132174202,0.9494216828042331
s0324,gluteus_medius_left,0.9571,0.9272045718874364,0.9360486798941801
s0324,gluteus_medius_right,0.9662,0.9158520316747053,0.9352242210317462
s0324,gluteus_minimus_left,0.928,0.8770844636520391,0.8967281085978838
s0324,gluteus_minimus_right,0.9403,0.8539914502691229,0.8695609828042329
s0324,heart,0.8806,0.8902125709833725,0.8942027142857146
s0324,hip_left,0.978,0.965616579925468,0.965329613624339
s0324,hip_right,0.9809,0.9738074658697963,0.9660651943121693
s0324,iliac_artery_left,0.708,0.8939766114522565,0.8704312728835981
s0324,iliac_artery_right,0.739,0.8360216153477701,0.8614380626503129
s0324,iliac_vena_left,0.8329,0.79735302268578,0.7921790330687828
s0324,iliac_vena_right,0.8246,0.9028670201981317,0.8764626619047619
s0324,iliopsoas_left,0.9613,0.9302218900012682,0.9419737591269842
s0324,iliopsoas_right,0.9512,0.9352410701540882,0.9488225138888893
s0324,inferior_vena_cava,0.797,0.8183253228441298,0.7687263488095235
s0324,kidney_left,0.8631,0.8145192111319822,0.8451381853174603
s0324,kidney_right,0.8243,0.8874477724171208,0.903860918915344
s0324,liver,0.9716,0.9486127154997893,0.9650937796296294
s0324,lung_lower_lobe_left,0.9913,0.9847972670636446,0.9744032284391525
s0324,lung_lower_lobe_right,0.9929,0.9862028703169036,0.977947137698412
s0324,lung_middle_lobe_right,0.9693,0.8454500122123877,0.8377862427248679
s0324,lung_upper_lobe_left,0.9751,0.8414793033813197,0.8138494720899468
s0324,pancreas,0.8818,0.8668327388066301,0.8862682550264549
s0324,portal_vein_and_splenic_vein,0.414,0.6280923913558185,0.6718833591269842
s0324,rib_left_10,0.9727,0.8821403707781811,0.9036345519841268
s0324,rib_left_11,0.9611,0.8492148634273633,0.8475760801587303
s0324,rib_left_12,0.939,0.8547169748756613,0.8011786424603173
s0324,rib_left_5,0.0,0.7317643092492561,0.8010589591269834
s0324,rib_left_6,0.0,0.9134831902430605,0.886480780291005
s0324,rib_left_7,0.0487,0.9069931186122846,0.912521632311207
s0324,rib_left_8,0.1829,0.9114050196954931,0.8698202152116398
s0324,rib_left_9,0.6375,0.9111081436111702,0.790120661904762
s0324,rib_right_10,0.9744,0.8378683706236663,0.8991373809523805
s0324,rib_right_11,0.972,0.842681189939111,0.801702387518038
s0324,rib_right_12,0.9454,0.8036136146843535,0.8707113093915357
s0324,rib_right_5,0.737,0.5363114395071885,0.4544757018518519
s0324,rib_right_6,0.8856,0.9397291947315825,0.8752171683862426
s0324,rib_right_7,0.982,0.9369338565601499,0.8844317468253966
s0324,rib_right_8,0.9714,0.9158451984089025,0.863124878571428
s0324,rib_right_9,0.9795,0.9302277439771969,0.8695227277777773
s0324,sacrum,0.9021,0.9434573108058153,0.8997071486772482
s0324,small_bowel,0.6747,0.8946778068217482,0.8932208423280423
s0324,spinal_cord,0.929,0.9087170304845228,0.9216954750000004
s0324,spleen,0.9229,0.9231960474956007,0.9386773505291004
s0324,sternum,0.766,0.7652444951733027,0.606931441269841
s0324,stomach,0.8861,0.9301948858330857,0.9207644932539686
s0324,urinary_bladder,0.7895,0.8796961373317426,0.8818129461640207
s0324,vertebrae_L1,0.9855,0.9680733318083192,0.9692223615079354
s0324,vertebrae_L2,0.979,0.9319000682293213,0.8761550690476186
s0324,vertebrae_L3,0.9814,0.9962238020974521,0.9680825821428561
s0324,vertebrae_L4,0.9823,0.9870891400127842,0.9704542087301575
s0324,vertebrae_L5,0.9842,0.9592181071698925,0.9720096636243373
s0324,vertebrae_S1,0.8955,0.94699970437747,0.9550773522486764
s0324,vertebrae_T10,0.9843,0.9475818632257994,0.9456953496031749
s0324,vertebrae_T11,0.9836,0.9520675947753777,0.9508487182539678
s0324,vertebrae_T12,0.9792,0.95158314889883,0.9543713498677243
s0324,vertebrae_T9,0.9583,0.9453168497645426,0.7226466615079367
s0249,adrenal_gland_left,0.471,0.4246486167534622,0.4324173047619046
s0249,adrenal_gland_right,0.8251,0.6633001585433663,0.7024716177248675
s0249,aorta,0.9695,0.9095295955707192,0.9179375174603179
s0249,autochthon_left,0.9217,0.9138216464865726,0.940610835185185
s0249,autochthon_right,0.9209,0.9470629415174447,0.9363741170634922
s0249,colon,0.9165,0.8598780351786772,0.8391061808201055
s0249,costal_cartilages,0.842,0.8908254200271875,0.873559720707071
s0249,esophagus,0.9319,0.8962216188373702,0.8934791350529103
s0249,heart,0.925,0.8745027006466505,0.9303210059523808
s0249,iliopsoas_left,0.8084,0.7977625594331629,0.715308753703703
s0249,iliopsoas_right,0.6296,0.8661644366856837,0.7128735679894176
s0249,inferior_vena_cava,0.9113,0.810205739239252,0.8345404515873011
s0249,kidney_left,0.8654,0.8858422847303806,0.8984395034391535
s0249,kidney_right,0.6641,0.8311485370665082,0.8488781452380951
s0249,liver,0.9731,0.971844183107223,0.9643344150793649
s0249,lung_lower_lobe_left,0.9926,0.9919034038950261,0.9876169698412696
s0249,lung_lower_lobe_right,0.9945,1.0,0.9901711505291009
s0249,lung_middle_lobe_right,0.9694,0.8955566461201322,0.9037847547619052
s0249,lung_upper_lobe_left,0.9664,0.9568887348729319,0.9243776603174602
s0249,lung_upper_lobe_right,0.1842,0.300970059954696,0.3663776333333334
s0249,pancreas,0.643,0.6552952680278488,0.740871828306878
s0249,portal_vein_and_splenic_vein,0.6714,0.6344274405149214,0.6994935068783067
s0249,rib_left_10,0.9748,0.9570779369309709,0.8928739440476189
s0249,rib_left_11,0.9697,0.9638340457977923,0.8951795896464652
s0249,rib_left_12,0.9089,0.7231931480401542,0.8337599384920634
s0249,rib_left_7,0.9655,0.43027033858139996,0.5972927797619048
s0249,rib_left_8,0.9719,0.5829951012639674,0.7609110543650791
s0249,rib_left_9,0.9663,0.6790680702992747,0.8368602404761901
s0249,rib_right_10,0.9621,1.0,0.9175598611111108
s0249,rib_right_11,0.9562,1.0,0.9172392227513229
s0249,rib_right_12,0.9277,0.6924210063996735,0.8175977448412696
s0249,rib_right_7,0.9426,0.8557262767970708,0.7563206596560844
s0249,rib_right_8,0.9765,0.8618400686253467,0.7945574505291001
s0249,rib_right_9,0.9681,0.8397850945280859,0.8552455161375657
s0249,spinal_cord,0.9388,0.9367246633662833,0.8918309523208272
s0249,spleen,0.9689,0.9126834072936768,0.9441599803150557
s0249,sternum,0.378,0.48926686396051305,0.499683517063492
s0249,stomach,0.9125,0.9694369405203328,0.9493863142857142
s0249,vertebrae_L1,0.9652,0.9603147636754247,0.9504497500360748
s0249,vertebrae_T10,0.9797,0.8725774612962582,0.808472012698413
