model,n,accept_rate,auc,auc_ci_lo,auc_ci_hi,pr_auc_accept,pr_auc_reject,minority_class,pr_auc_minority
randomforest_[raw+organ],4017,0.7451,0.8732,0.8542,0.8934,0.9442,0.7292,reject,0.7292
randomforest_[raw],4017,0.7451,0.8707,0.8517,0.892,0.9413,0.7308,reject,0.7308
randomforest_[raw+rel],4017,0.7451,0.8693,0.8503,0.8904,0.9427,0.7229,reject,0.7229
histgradboost_[raw+rel],4017,0.7451,0.8622,0.8413,0.8851,0.9378,0.7256,reject,0.7256
histgradboost_[raw+organ],4017,0.7451,0.859,0.8379,0.8824,0.9336,0.7232,reject,0.7232
histgradboost_[raw],4017,0.7451,0.8565,0.8352,0.8793,0.9341,0.7163,reject,0.7163
logreg_[raw+organ],4017,0.7451,0.8384,0.8109,0.8669,0.923,0.6892,reject,0.6892
logreg_[raw+rel],4017,0.7451,0.8254,0.7977,0.853,0.9177,0.6341,reject,0.6341
logreg_[raw],4017,0.7451,0.8085,0.7769,0.8392,0.9063,0.6109,reject,0.6109
tree-depth3_[raw+organ],4017,0.7451,0.8035,0.7815,0.8253,0.8953,0.6189,reject,0.6189
tree-depth3_[raw],4017,0.7451,0.8013,0.78,0.8227,0.8955,0.5988,reject,0.5988
tree-depth3_[raw+rel],4017,0.7451,0.8004,0.7785,0.8219,0.8944,0.6015,reject,0.6015
randomforest_[rel],4017,0.7451,0.7934,0.7735,0.8134,0.8988,0.6327,reject,0.6327
histgradboost_[rel],4017,0.7451,0.7781,0.7576,0.801,0.8872,0.6281,reject,0.6281
organ-rate_baseline,4017,0.7451,0.7608,0.7369,0.785,0.8877,0.5653,reject,0.5653
tree-depth3_[rel],4017,0.7451,0.7427,0.7175,0.7656,0.8576,0.5534,reject,0.5534
logreg_[rel],4017,0.7451,0.7421,0.7138,0.7694,0.8608,0.5678,reject,0.5678
always-accept,4017,0.7451,0.4799,0.43,0.5285,0.7367,0.2451,reject,0.2451
