organ,n,median_vol_mL,radius_mm,tol_mm,spacing_mm,tol_voxels
liver,44,1389.8,69.23,2.308,1.5,1.538
brain,11,927.89,60.51,2.017,1.5,1.345
lung_lower_lobe_right,45,838.36,58.49,1.95,1.5,1.3
lung_upper_lobe_left,49,801.77,57.63,1.921,1.5,1.281
small_bowel,33,769.8,56.85,1.895,1.5,1.263
lung_upper_lobe_right,46,767.66,56.8,1.893,1.5,1.262
lung_lower_lobe_left,47,759.83,56.61,1.887,1.5,1.258
heart,43,556.59,51.03,1.701,1.5,1.134
gluteus_maximus_right,23,492.1,48.98,1.633,1.5,1.088
gluteus_maximus_left,23,456.77,47.78,1.593,1.5,1.062
colon,40,447.05,47.43,1.581,1.5,1.054
lung_middle_lobe_right,43,374.28,44.71,1.49,1.5,0.993
hip_left,24,350.98,43.76,1.459,1.5,0.972
hip_right,24,342.41,43.4,1.447,1.5,0.964
skull,21,291.09,41.11,1.37,1.5,0.914
stomach,42,283.37,40.75,1.358,1.5,0.905
autochthon_left,49,267.25,39.96,1.332,1.5,0.888
aorta,50,244.48,38.79,1.293,1.5,0.862
autochthon_right,49,242.56,38.69,1.29,1.5,0.86
gluteus_medius_right,23,234.59,38.26,1.275,1.5,0.85
gluteus_medius_left,23,228.89,37.95,1.265,1.5,0.843
iliopsoas_left,36,196.58,36.07,1.202,1.5,0.802
iliopsoas_right,39,189.97,35.66,1.189,1.5,0.792
sacrum,23,183.25,35.24,1.175,1.5,0.783
femur_right,22,180.52,35.06,1.169,1.5,0.779
femur_left,23,180.15,35.04,1.168,1.5,0.779
spleen,42,157.31,33.49,1.116,1.5,0.744
urinary_bladder,23,152.38,33.13,1.104,1.5,0.736
kidney_right,35,127.18,31.2,1.04,1.5,0.693
costal_cartilages,49,126.9,31.17,1.039,1.5,0.693
kidney_left,35,119.86,30.59,1.02,1.5,0.68
scapula_right,39,93.99,28.21,0.94,1.5,0.627
scapula_left,39,93.2,28.13,0.938,1.5,0.625
gluteus_minimus_right,23,69.93,25.56,0.852,1.5,0.568
vertebrae_L5,23,65.24,24.97,0.832,1.5,0.555
vertebrae_L4,24,63.51,24.75,0.825,1.5,0.55
vertebrae_L3,23,62.86,24.67,0.822,1.5,0.548
pancreas,36,60.45,24.35,0.812,1.5,0.541
gluteus_minimus_left,23,60.23,24.32,0.811,1.5,0.54
sternum,47,57.53,23.95,0.798,1.5,0.532
vertebrae_L2,32,56.37,23.79,0.793,1.5,0.529
inferior_vena_cava,46,53.48,23.37,0.779,1.5,0.519
vertebrae_L1,37,53.14,23.32,0.777,1.5,0.518
humerus_left,32,52.86,23.28,0.776,1.5,0.517
spinal_cord,51,51.86,23.13,0.771,1.5,0.514
vertebrae_S1,22,47.95,22.54,0.751,1.5,0.501
vertebrae_T12,42,46.62,22.33,0.744,1.5,0.496
humerus_right,32,45.52,22.15,0.738,1.5,0.492
duodenum,33,43.53,21.82,0.727,1.5,0.485
vertebrae_T11,42,43.37,21.8,0.727,1.5,0.484
vertebrae_T10,42,38.86,21.01,0.7,1.5,0.467
vertebrae_T9,41,35.97,20.48,0.683,1.5,0.455
trachea,41,35.82,20.45,0.682,1.5,0.454
esophagus,49,33.86,20.07,0.669,1.5,0.446
vertebrae_T8,38,32.22,19.74,0.658,1.5,0.439
vertebrae_T7,38,31.49,19.59,0.653,1.5,0.435
iliac_vena_left,24,30.72,19.43,0.648,1.5,0.432
vertebrae_T6,36,28.03,18.84,0.628,1.5,0.419
prostate,13,27.07,18.63,0.621,1.5,0.414
portal_vein_and_splenic_vein,35,26.05,18.39,0.613,1.5,0.409
iliac_vena_right,24,25.89,18.35,0.612,1.5,0.408
vertebrae_T5,36,25.7,18.31,0.61,1.5,0.407
vertebrae_T4,37,24.44,18.0,0.6,1.5,0.4
pulmonary_vein,39,24.04,17.9,0.597,1.5,0.398
clavicula_right,37,24.0,17.89,0.596,1.5,0.398
vertebrae_T2,37,23.87,17.86,0.595,1.5,0.397
vertebrae_T1,37,23.31,17.72,0.591,1.5,0.394
vertebrae_T3,38,23.14,17.68,0.589,1.5,0.393
