family,n,n_organs,accept_rate,auc
costal_cartilage,49,1,0.16326530612244897,0.399390243902439
great_vessel,570,16,0.5526315789473685,0.6438717709305946
airway_neck,77,2,0.6753246753246753,0.7230769230769231
digestive,200,5,0.51,0.7501000400160064
rib,939,24,0.7646432374866879,0.7925673376271443
vertebrae,753,25,0.8459495351925631,0.8128214150381639
neuro,85,3,0.8352941176470589,0.8289738430583501
shoulder_bone,263,7,0.8745247148288974,0.8316205533596839
urinary,172,7,0.563953488372093,0.8321649484536082
heart,80,2,0.7875,0.8338001867413632
solid_abdominal,153,4,0.6993464052287581,0.8614384396586753
muscle,313,10,0.8785942492012779,0.8842105263157896
lung,233,5,0.8798283261802575,0.9297909407665506
