organ,n,n_organs,accept_rate,auc
adrenal_gland_left,36,1,0.3055555555555556,0.7490909090909091
adrenal_gland_right,37,1,0.35135135135135137,0.7532051282051282
atrial_appendage_left,37,1,0.6486486486486487,0.7243589743589743
brachiocephalic_trunk,37,1,0.5675675675675675,0.44940476190476186
brachiocephalic_vein_left,38,1,0.6842105263157895,0.7852564102564102
brachiocephalic_vein_right,38,1,0.47368421052631576,0.6222222222222222
colon,40,1,0.45,0.7196969696969697
common_carotid_artery_left,38,1,0.6578947368421053,0.6123076923076923
common_carotid_artery_right,37,1,0.2972972972972973,0.7167832167832169
costal_cartilages,49,1,0.16326530612244897,0.399390243902439
duodenum,35,1,0.17142857142857143,0.5632183908045978
esophagus,49,1,0.6938775510204082,0.6784313725490196
gallbladder,30,1,0.4,0.6898148148148149
humerus_left,32,1,0.78125,0.9142857142857144
iliopsoas_left,36,1,0.6666666666666666,0.9548611111111112
iliopsoas_right,40,1,0.625,0.9893333333333334
inferior_vena_cava,46,1,0.45652173913043476,0.6761904761904762
kidney_left,36,1,0.8055555555555556,0.8866995073891625
kidney_right,36,1,0.8055555555555556,0.960591133004926
lung_lower_lobe_left,48,1,0.875,0.9722222222222223
lung_middle_lobe_right,43,1,0.8372093023255814,0.9523809523809523
lung_upper_lobe_right,47,1,0.851063829787234,0.9857142857142858
pancreas,37,1,0.3783783783783784,0.6459627329192547
pulmonary_vein,39,1,0.6923076923076923,0.7376543209876544
rib_left_1,38,1,0.7105263157894737,0.7878787878787878
rib_left_10,40,1,0.775,0.878136200716846
rib_left_11,39,1,0.7948717948717948,0.8225806451612904
rib_left_12,37,1,0.6216216216216216,0.717391304347826
rib_left_3,41,1,0.8292682926829268,0.9159663865546218
rib_left_4,40,1,0.825,0.8961038961038961
rib_left_5,41,1,0.7560975609756098,0.9096774193548387
rib_left_6,41,1,0.7560975609756098,0.9612903225806453
rib_left_7,40,1,0.8,0.9609375
rib_left_8,41,1,0.7073170731707317,0.9827586206896551
rib_left_9,40,1,0.725,0.9968652037617555
rib_right_1,38,1,0.6842105263157895,0.7852564102564102
rib_right_10,39,1,0.7692307692307693,0.9407407407407407
rib_right_11,39,1,0.7435897435897436,0.7862068965517242
rib_right_12,38,1,0.8157894736842105,0.8755760368663594
rib_right_3,39,1,0.8461538461538461,0.9595959595959596
rib_right_4,38,1,0.8157894736842105,0.8940092165898617
rib_right_5,38,1,0.7105263157894737,0.872053872053872
rib_right_6,39,1,0.6923076923076923,0.9320987654320989
rib_right_7,39,1,0.7435897435897436,1.0
rib_right_8,39,1,0.6666666666666666,0.8727810650887574
rib_right_9,39,1,0.717948717948718,0.9902597402597403
scapula_left,39,1,0.8717948717948718,0.9705882352941178
small_bowel,33,1,0.3939393939393939,0.7076923076923077
spinal_cord,52,1,0.9038461538461539,0.876595744680851
sternum,47,1,0.6808510638297872,0.7583333333333333
stomach,43,1,0.7209302325581395,0.7258064516129032
subclavian_artery_left,38,1,0.39473684210526316,0.7304347826086957
subclavian_artery_right,37,1,0.43243243243243246,0.6934523809523809
superior_vena_cava,39,1,0.8205128205128205,0.48660714285714285
thyroid_gland,36,1,0.3611111111111111,0.745819397993311
vertebrae_C6,29,1,0.6551724137931034,0.7105263157894737
vertebrae_C7,37,1,0.7837837837837838,0.7327586206896551
vertebrae_L2,33,1,0.7878787878787878,0.9230769230769231
vertebrae_T1,37,1,0.8648648648648649,0.8875
vertebrae_T3,38,1,0.7894736842105263,0.95
vertebrae_T4,37,1,0.7837837837837838,0.9137931034482758
vertebrae_T5,37,1,0.8108108108108109,0.9190476190476191
vertebrae_T6,36,1,0.8333333333333334,0.9611111111111111
vertebrae_T7,38,1,0.8421052631578947,0.8281250000000001
vertebrae_T8,38,1,0.8421052631578947,0.8072916666666666
vertebrae_T9,41,1,0.8780487804878049,0.95
