kind,group,auc,delta_auc
drop_group,size,0.8148949455557261,-0.010143030329586744
drop_group,position,0.8299167208309901,0.004878744945677305
drop_group,extent,0.8228160214417689,-0.0022219544435438943
drop_group,component,0.7459754081799083,-0.07906256770540454
drop_group,boundary,0.8250948788544915,5.6902969178707075e-05
drop_group,intensity,0.8277178927278614,0.0026799168425486464
only_group,size,0.6929248004440257,-0.1321131754412871
only_group,position,0.6203497798128957,-0.20468819607241706
only_group,extent,0.690271661469326,-0.13476631441598685
only_group,component,0.5825732070391711,-0.24246476884614165
only_group,boundary,0.5071542551249187,-0.31788372076039406
only_group,intensity,0.6222799163556783,-0.20275805952963455
