family,n,accept_rate,auc
airway_neck,77,0.6753246753246753,0.876923076923077
costal_cartilage,49,0.16326530612244897,0.600609756097561
digestive,200,0.51,0.7237895158063226
great_vessel,570,0.5526315789473685,0.7554684095860567
heart,80,0.7875,0.8468720821661999
lung,233,0.8798283261802575,0.9513937282229966
muscle,313,0.8785942492012779,0.8784688995215311
neuro,85,0.8352941176470589,0.8501006036217303
rib,939,0.7646432374866879,0.8671523462609815
shoulder_bone,263,0.8745247148288974,0.7927536231884058
solid_abdominal,153,0.6993464052287581,0.8289313287281592
urinary,172,0.563953488372093,0.8329896907216494
vertebrae,753,0.8459495351925631,0.7761395008931955
