organ,n,accept_rate,auc,family
duodenum,35,0.17142857142857143,0.2471264367816092,digestive
gallbladder,30,0.4,0.3888888888888889,solid_abdominal
common_carotid_artery_left,38,0.6578947368421053,0.42153846153846153,great_vessel
brachiocephalic_trunk,37,0.5675675675675675,0.4523809523809524,great_vessel
vertebrae_T1,37,0.8648648648648649,0.4625,vertebrae
superior_vena_cava,39,0.8205128205128205,0.4955357142857143,great_vessel
pancreas,37,0.3783783783783784,0.515527950310559,solid_abdominal
rib_left_12,37,0.6216216216216216,0.5186335403726708,rib
adrenal_gland_left,36,0.3055555555555556,0.5599999999999999,urinary
vertebrae_C7,37,0.7837837837837838,0.5862068965517242,vertebrae
costal_cartilages,49,0.16326530612244897,0.600609756097561,costal_cartilage
vertebrae_C6,29,0.6551724137931034,0.6157894736842106,vertebrae
rib_left_11,39,0.7948717948717948,0.6290322580645161,rib
small_bowel,33,0.3939393939393939,0.6346153846153846,digestive
esophagus,49,0.6938775510204082,0.6470588235294118,digestive
adrenal_gland_right,37,0.35135135135135137,0.6602564102564104,urinary
pulmonary_vein,39,0.6923076923076923,0.6728395061728395,great_vessel
colon,40,0.45,0.6818181818181818,digestive
vertebrae_T3,38,0.7894736842105263,0.6875,vertebrae
vertebrae_T8,38,0.8421052631578947,0.6875,vertebrae
brachiocephalic_vein_right,38,0.47368421052631576,0.7027777777777777,great_vessel
thyroid_gland,36,0.3611111111111111,0.7090301003344481,airway_neck
stomach,43,0.7209302325581395,0.7150537634408602,digestive
subclavian_artery_right,37,0.43243243243243246,0.7202380952380952,great_vessel
common_carotid_artery_right,37,0.2972972972972973,0.7202797202797202,great_vessel
rib_right_11,39,0.7435897435897436,0.7310344827586207,rib
subclavian_artery_left,38,0.39473684210526316,0.7333333333333334,great_vessel
brachiocephalic_vein_left,38,0.6842105263157895,0.7403846153846154,great_vessel
vertebrae_T7,38,0.8421052631578947,0.7499999999999999,vertebrae
atrial_appendage_left,37,0.6486486486486487,0.75,heart
rib_left_1,38,0.7105263157894737,0.7508417508417509,rib
inferior_vena_cava,46,0.45652173913043476,0.7561904761904761,great_vessel
vertebrae_T4,37,0.7837837837837838,0.7672413793103448,vertebrae
rib_right_12,38,0.8157894736842105,0.7695852534562211,rib
rib_right_8,39,0.6666666666666666,0.7781065088757397,rib
sternum,47,0.6808510638297872,0.7791666666666667,shoulder_bone
rib_right_1,38,0.6842105263157895,0.7852564102564102,rib
rib_left_10,40,0.775,0.7921146953405018,rib
rib_right_4,38,0.8157894736842105,0.7972350230414746,rib
spinal_cord,52,0.9038461538461539,0.8,neuro
vertebrae_T5,37,0.8108108108108109,0.8095238095238095,vertebrae
scapula_left,39,0.8717948717948718,0.8647058823529412,shoulder_bone
vertebrae_T6,36,0.8333333333333334,0.8833333333333334,vertebrae
kidney_left,36,0.8055555555555556,0.8866995073891626,urinary
rib_right_5,38,0.7105263157894737,0.8888888888888888,rib
rib_left_5,41,0.7560975609756098,0.8903225806451613,rib
rib_right_10,39,0.7692307692307693,0.9000000000000001,rib
vertebrae_L2,33,0.7878787878787878,0.901098901098901,vertebrae
rib_left_4,40,0.825,0.9047619047619048,rib
lung_middle_lobe_right,43,0.8372093023255814,0.9166666666666666,lung
humerus_left,32,0.78125,0.9257142857142857,shoulder_bone
rib_left_6,41,0.7560975609756098,0.9258064516129032,rib
kidney_right,36,0.8055555555555556,0.9261083743842364,urinary
rib_right_6,39,0.6923076923076923,0.9290123456790123,rib
iliopsoas_left,36,0.6666666666666666,0.9340277777777778,muscle
rib_left_3,41,0.8292682926829268,0.9369747899159664,rib
rib_left_7,40,0.8,0.94921875,rib
rib_right_3,39,0.8461538461538461,0.9494949494949495,rib
vertebrae_T9,41,0.8780487804878049,0.95,vertebrae
rib_left_8,41,0.7073170731707317,0.9511494252873562,rib
rib_left_9,40,0.725,0.9561128526645768,rib
lung_lower_lobe_left,48,0.875,0.9603174603174603,lung
rib_right_9,39,0.717948717948718,0.9675324675324675,rib
lung_upper_lobe_right,47,0.851063829787234,0.9678571428571429,lung
iliopsoas_right,40,0.625,0.9840000000000001,muscle
rib_right_7,39,0.7435897435897436,0.996551724137931,rib
