family,n,coverage,mean_width,avg_cal_n,reliable
digestive,74,0.7297297297297297,0.20871965327877376,20.4,1
great_vessel,61,0.8524590163934426,0.3847773303613513,16.8,1
heart,11,0.8181818181818182,0.164507982826388,3.2,0
lung,33,0.8484848484848485,0.31234847659274595,9.6,1
muscle,108,0.7685185185185185,0.2126574205648392,30.8,1
neuro,28,0.8928571428571429,0.15871804404629147,8.0,1
pelvic_bone,51,0.8823529411764706,0.265728589563513,13.6,1
reproductive,3,1.0,0.1729426411329047,0.3,0
shoulder_bone,37,0.7567567567567568,0.3585653955431779,12.8,1
solid_abdominal,46,0.782608695652174,0.20522087332353492,12.2,1
urinary,48,0.6458333333333334,0.22344201632842123,12.6,1
vertebrae,48,0.8333333333333334,0.19556310624003567,14.0,1
