family,n,coverage,mean_width,avg_cal_n,reliable
digestive,74,0.7297297297297297,0.21496192089260463,20.4,1
great_vessel,61,0.8688524590163934,0.40818120343113,16.8,1
heart,11,0.8181818181818182,0.16039394724850095,3.2,0
lung,33,0.8787878787878788,0.32601622866578883,9.6,1
muscle,108,0.75,0.21131777656823528,30.8,1
neuro,28,0.7857142857142857,0.17052550271519398,8.0,1
pelvic_bone,51,0.8823529411764706,0.258118008884007,13.6,1
reproductive,3,1.0,0.16100476604949374,0.3,0
shoulder_bone,37,0.7837837837837838,0.39422432709620825,12.8,1
solid_abdominal,46,0.782608695652174,0.20462812915656717,12.2,1
urinary,48,0.75,0.22975809196199215,12.6,1
vertebrae,48,0.8125,0.20899453219057448,14.0,1
