subject,organ,iou,fam,raw_lo,raw_hi,cqr_lo,cqr_hi,mondrian_lo,mondrian_hi,q50
s0299,colon,0.8754,digestive,0.8614988487396004,0.8532273351650698,0.8174131190275162,0.8973130648771539,0.8294979173605274,0.8852282665441428,0.8278352608363114
s0299,femur_right,0.9235,pelvic_bone,0.9553177244581407,0.934299208062167,0.9112319947460565,0.9783849377742512,0.8685328214144015,1.0,0.9013058513676379
s0299,gluteus_maximus_left,0.0,muscle,0.4554855782125831,0.7269724002328735,0.411399848500499,0.7710581299449576,0.4140485241201228,0.7684094543253338,0.5611432360430608
s0299,gluteus_maximus_right,0.8957,muscle,0.9044865173410557,0.9544829576646723,0.8604007876289715,0.9985686873767564,0.8630494632485953,0.9959200117571326,0.9280082468541407
s0299,gluteus_medius_right,0.729,muscle,0.8438286763932423,0.8688842898635931,0.7997429466811582,0.9129700195756772,0.802391622300782,0.9103213439560535,0.8140476241354877
s0299,gluteus_minimus_right,0.6141,muscle,0.7334762101003579,0.8339952609225412,0.6893904803882738,0.8780809906346253,0.6920391560078976,0.8754323150150015,0.8186966923646403
s0299,hip_left,0.8039,pelvic_bone,0.8137122868350622,0.8337098616968184,0.7696265571229781,0.8777955914089025,0.726927383791323,0.9204947647405576,0.8377402794569736
s0299,hip_right,0.8838,pelvic_bone,0.7804685038519861,0.891168535425767,0.7363827741399019,0.9352542651378511,0.6936836008082469,0.9779534384695062,0.8803822105815462
s0299,iliac_artery_right,0.7676,great_vessel,0.6725760294030897,0.7555079027210152,0.6284902996910056,0.7995936324330993,0.6126116549858617,0.8154722771382432,0.6673956311595324
s0299,iliac_vena_right,0.8303,great_vessel,0.7458750870261844,0.7830721066406319,0.7017893573141003,0.827157836352716,0.6859107126089564,0.8430364810578599,0.7626553336368753
s0299,iliopsoas_right,0.9099,muscle,0.8349725108511012,0.8712014725022432,0.7908867811390171,0.9152872022143274,0.7935354567586409,0.9126385265947036,0.8508059313722383
s0299,prostate,0.8993,reproductive,0.7921536763266198,0.8965225697509145,0.7480679466145357,0.9406082994629986,0.7480679466145357,0.9406082994629986,0.8754587197796606
s0299,sacrum,0.7852,pelvic_bone,0.8207724324928833,0.8322950042649201,0.7766867027807992,0.8763807339770042,0.7339875294491441,0.9190799073086593,0.8137395165816605
s0299,urinary_bladder,0.8754,urinary,0.8925651543154078,0.9088777187968302,0.8484794246033237,0.9529634485089143,0.8678311930399362,0.9336116800723019,0.913893078640528
s0302,brain,0.9695,neuro,0.9577366730971848,0.967718390851965,0.9136509433851007,1.0,0.9090153887768413,1.0,0.955689203474895
s0006,autochthon_left,0.7306,muscle,0.7693837041451996,0.9014825393362002,0.7331783912579652,0.9376878522234345,0.7478065164011654,0.9230597270802344,0.8062171191999373
s0006,autochthon_right,0.8824,muscle,0.7904124829256076,0.9124352691832623,0.7542071700383732,0.9486405820704967,0.7688352951815733,0.9340124569272966,0.8073465422516364
s0006,colon,0.6272,digestive,0.7909436602267138,0.8580522914089176,0.7547383473394794,0.894257604296152,0.7483160862221342,0.9006798654134972,0.7966122811577537
s0006,duodenum,0.7049,digestive,0.7745277687040928,0.8640196532411016,0.7383224558168584,0.900224966128336,0.7319001946995132,0.9066472272456813,0.8010622895515918
s0006,esophagus,0.6474,digestive,0.5440805796938278,0.7249084423993741,0.5078752668065935,0.7611137552866085,0.5014530056892482,0.7675360164039537,0.6881420723516876
s0006,femur_left,0.7695,pelvic_bone,0.45251894354556826,0.7992634398206699,0.4163136306583339,0.8354687527079043,0.36821935981184645,0.8835630235543918,0.6759482891585735
s0006,femur_right,0.8954,pelvic_bone,0.5895442696177319,0.8209768581701028,0.5533389567304975,0.8571821710573372,0.5052446858840101,0.9052764419038246,0.7123364058930808
s0006,gallbladder,0.7493,solid_abdominal,0.5692731503503099,0.8572291823248388,0.5330678374630755,0.8934344952120732,0.5100613786035009,0.9164409540716478,0.7877863416167965
s0006,gluteus_maximus_left,0.0,muscle,0.398168687100637,0.7610991411541005,0.36196337421340263,0.7973044540413349,0.37659149935660274,0.7826763288981348,0.6363645797186496
s0006,gluteus_minimus_left,0.0,muscle,0.060650567958259675,0.7027132935796745,0.02444525507102529,0.7389186064669089,0.0390733802142254,0.7242904813237088,0.6519524256969063
s0006,gluteus_minimus_right,0.0,muscle,0.03461025484020372,0.7240378502628639,0.0,0.7602431631500983,0.013033067096169443,0.7456150380068982,0.30686858606003764
s0006,heart,0.8067,heart,0.8678225986456842,0.9070198158367375,0.8316172857584498,0.9432251287239719,0.8316172857584498,0.9432251287239719,0.8574138737388157
s0006,hip_left,0.7812,pelvic_bone,0.7368198725964765,0.8608467082220344,0.7006145597092421,0.8970520211092687,0.6525202888627547,0.9451462919557562,0.8108190927806301
s0006,hip_right,0.8008,pelvic_bone,0.7635780796285739,0.8494712959356145,0.7273727667413395,0.8856766088228489,0.6792784958948521,0.9337708796693364,0.8366964997988757
s0006,humerus_left,0.5668,shoulder_bone,0.4930671546004516,0.8051149430404589,0.4568618417132172,0.8413202559276933,0.39473676302998084,0.9034453346109297,0.6923036495530037
s0006,humerus_right,0.6971,shoulder_bone,0.5940601581233971,0.7768922219149624,0.5578548452361627,0.8130975348021968,0.49572976655292633,0.8752226134854332,0.6697065873746825
s0006,iliac_artery_right,0.0,great_vessel,0.004787482649881285,0.8007089225970756,0.0,0.83691423548431,0.0,0.8260828434299782,0.023042916690687597
s0006,iliopsoas_left,0.8664,muscle,0.776899517623126,0.8571696493631298,0.7406942047358916,0.8933749622503642,0.7553223298790918,0.8787468371071641,0.8390984277449566
s0006,iliopsoas_right,0.8409,muscle,0.7426736046835664,0.8426246341952757,0.706468291796332,0.87882994708251,0.7210964169395321,0.8642018219393099,0.7983610269057745
s0006,intervertebral_discs,0.8358,vertebrae,0.7083157123291423,0.8456090044526143,0.6721103994419079,0.8818143173398487,0.6723768247574099,0.8815478920243467,0.79564649056382
s0006,kidney_left,0.7936,urinary,0.8558161001773029,0.9292509745428004,0.8196107872900685,0.9654562874300348,0.8519843496895877,0.9330827250305156,0.8658946986784036
s0006,kidney_right,0.7362,urinary,0.802899525332098,0.892588382860865,0.7666942124448636,0.9287936957480993,0.7990677748443827,0.8964201333485802,0.847997386599764
s0006,liver,0.8781,solid_abdominal,0.8969427712413275,0.9544293250579693,0.8607374583540931,0.9906346379452037,0.8377309994945185,1.0,0.9368415479477964
s0006,lung_left,0.9181,lung,0.926663536442192,0.9651197902682727,0.8904582235549576,1.0,0.7584446646886235,1.0,0.9541509742087791
s0006,lung_right,0.9251,lung,0.9517614201708797,0.9661566938827413,0.9155561072836453,1.0,0.7835425484173112,1.0,0.9543841982763814
s0006,sacrum,0.8334,pelvic_bone,0.7782428518052826,0.8824425600542101,0.7420375389180482,0.9186478729414445,0.6939432680715608,0.9667421437879319,0.8337609297794794
s0006,small_bowel,0.4148,digestive,0.7716777032268755,0.843557486796063,0.7354723903396411,0.8797627996832974,0.7290501292222958,0.8861850608006426,0.7326696651046243
s0006,spinal_cord,0.7673,neuro,0.7448258732398713,0.8583118577260499,0.7086205603526369,0.8945171706132843,0.7003780143330489,0.9027597166328722,0.8281395965855841
s0006,spleen,0.5019,solid_abdominal,0.6080163681122192,0.7976152070705953,0.5718110552249848,0.8338205199578297,0.5488045963654101,0.8568269788174043,0.6767138372948461
s0006,stomach,0.747,digestive,0.8571989744675014,0.8816232990630831,0.820993661580267,0.9178286119503175,0.8145714004629218,0.9242508730676627,0.864875250818015
s0006,urinary_bladder,0.7258,urinary,0.021271769883729832,0.815841462850754,0.0,0.8520467757379884,0.017440019396014608,0.8196732133384692,0.7280241321574359
s0006,vertebrae,0.8448,vertebrae,0.7900360942176264,0.8791857837333628,0.753830781330392,0.9153910966205971,0.7540972066458941,0.9151246713050951,0.8348476005463913
s0307,autochthon_left,0.7435,muscle,0.809013297153654,0.8737121464693601,0.7662168768117319,0.9165085668112822,0.7910662709852505,0.8916591726377636,0.7434061158346917
s0307,autochthon_right,0.8288,muscle,0.767295823279675,0.8803373884611579,0.724499402937753,0.92313380880308,0.7493487971112716,0.8982844146295614,0.7368024455971756
s0307,clavicula_left,0.0,shoulder_bone,2.9635523687975667e-19,0.7492908484625947,0.0,0.7920872688045169,0.0,0.8699453940142465,0.09371158078191831
s0307,colon,0.769,digestive,0.6453331203114033,0.8319386274418661,0.6025366999694812,0.8747350477837882,0.621461678143305,0.8558100696099644,0.7180650415816346
s0307,esophagus,0.7345,digestive,0.550990081850274,0.7591596027546269,0.5081936615083519,0.801956023096549,0.5271186396821756,0.7830310449227252,0.7063079542154623
s0307,femur_left,0.6809,pelvic_bone,0.49813320281122325,0.7772636528600037,0.45533678246930115,0.8200600732019258,0.44071715084568924,0.8346797048255377,0.6105659544024854
