alpha,nominal,variant,coverage,mean_width,median_width,spearman_width_err
0.2,0.8,uncalibrated (raw quantiles),0.4708029197080292,0.16001838960497317,0.09039902612465661,0.4185063709781091
0.2,0.8,CQR global,0.7773722627737226,0.22783671150710882,0.15633898019179426,0.41337949401031965
0.2,0.8,"CQR global (clipped [0,1])",0.7773722627737226,0.22592034165373087,0.15633898019179426,0.4146554315907358
0.2,0.8,Mondrian (per-family),0.7956204379562044,0.265733108576792,0.20059200746637967,0.31709046855376805
0.2,0.8,"Mondrian (clipped [0,1])",0.7956204379562044,0.2548038160962936,0.19045464095947678,0.3424547776089216
0.1,0.9,uncalibrated (raw quantiles),0.6240875912408759,0.22634333196111883,0.13998754585245038,0.4429468068122114
0.1,0.9,CQR global,0.8959854014598541,0.3286987163586097,0.2543681927567122,0.42201172436277323
0.1,0.9,"CQR global (clipped [0,1])",0.8959854014598541,0.3239563655358382,0.25428839224930133,0.428390755993381
0.1,0.9,Mondrian (per-family),0.9032846715328468,0.4301365043991335,0.3252651045442301,0.2986321042024927
0.1,0.9,"Mondrian (clipped [0,1])",0.9032846715328468,0.38530117263521674,0.31604721106285555,0.35001545520913474
