organ,n_scored,mean_dice,mean_iou,n_accept,accept_rate
adrenal_gland_left,6,0.8655,0.7642,0,0.0
adrenal_gland_right,7,0.8578,0.7525,0,0.0
aorta,13,0.9194,0.8532,5,0.3846
autochthon_left,16,0.9358,0.8829,10,0.5556
autochthon_right,17,0.9227,0.863,10,0.5556
brain,5,0.984,0.9686,5,1.0
clavicula_left,5,0.8619,0.759,0,0.0
clavicula_right,5,0.8753,0.7809,0,0.0
colon,20,0.8699,0.7819,1,0.05
duodenum,11,0.8871,0.7988,0,0.0
esophagus,13,0.8781,0.7854,0,0.0
femur_left,8,0.8754,0.7839,2,0.25
femur_right,11,0.9267,0.8668,5,0.4545
gallbladder,5,0.8992,0.8179,0,0.0
gluteus_maximus_left,6,0.8206,0.7077,1,0.125
gluteus_maximus_right,7,0.8505,0.7523,1,0.1429
gluteus_medius_left,6,0.9072,0.8339,1,0.1429
gluteus_medius_right,6,0.877,0.787,1,0.1429
gluteus_minimus_left,4,0.8685,0.7724,0,0.0
gluteus_minimus_right,4,0.8664,0.77,0,0.0
heart,11,0.9478,0.9017,7,0.6364
hip_left,11,0.8603,0.7576,0,0.0
hip_right,12,0.8737,0.7797,0,0.0
humerus_left,7,0.8383,0.7465,2,0.2857
humerus_right,8,0.8667,0.7743,1,0.125
iliac_artery_left,5,0.8799,0.7866,0,0.0
iliac_artery_right,5,0.8384,0.7253,0,0.0
iliac_vena_left,4,0.841,0.7262,0,0.0
iliac_vena_right,5,0.9051,0.8276,0,0.0
iliopsoas_left,15,0.9306,0.8713,3,0.2
iliopsoas_right,16,0.9206,0.8556,4,0.25
inferior_vena_cava,12,0.88,0.7907,2,0.1429
intervertebral_discs,24,0.8585,0.7618,0,0.0
kidney_left,14,0.9196,0.8544,6,0.4286
kidney_right,11,0.9299,0.8711,5,0.4545
liver,15,0.9581,0.9205,11,0.7333
lung_left,15,0.9525,0.912,11,0.6875
lung_right,16,0.9415,0.8964,12,0.7059
pancreas,9,0.877,0.786,1,0.0909
portal_vein_and_splenic_vein,9,0.8996,0.8193,1,0.1
prostate,3,0.9286,0.8671,0,0.0
sacrum,8,0.7725,0.6842,0,0.0
scapula_left,4,0.8177,0.6957,0,0.0
scapula_right,6,0.7695,0.635,0,0.0
small_bowel,14,0.7829,0.6872,0,0.0
spinal_cord,22,0.9064,0.8313,0,0.0
spleen,14,0.9261,0.8697,7,0.5
stomach,14,0.9097,0.839,4,0.2857
urinary_bladder,8,0.8985,0.8208,3,0.3333
vertebrae,24,0.9155,0.8474,4,0.1667
