subject,organ,iou,pred_iou_HistGB,pred_iou_RandomForest
s0299,colon,0.8754,0.8380161967007029,0.8319830523809526
s0299,femur_right,0.9235,0.8980093780575504,0.8889591830687836
s0299,gluteus_maximus_left,0.0,0.3967268552044826,0.36898902301587316
s0299,gluteus_maximus_right,0.8957,0.9059484528912757,0.9308425863756605
s0299,gluteus_medius_right,0.729,0.7785095035214075,0.8236563276455026
s0299,gluteus_minimus_right,0.6141,0.7868720032128432,0.6584288357142853
s0299,hip_left,0.8039,0.8097905016053608,0.8044370591269842
s0299,hip_right,0.8838,0.877522766004228,0.8429682756613764
s0299,iliac_artery_right,0.7676,0.5296583426771584,0.6689174785714288
s0299,iliac_vena_right,0.8303,0.8190139887425097,0.7866222695767201
s0299,iliopsoas_right,0.9099,0.7776395198270721,0.8306257222222225
s0299,prostate,0.8993,0.9711270826084671,0.8569721625661383
s0299,sacrum,0.7852,0.5999870485442176,0.801807584920635
s0299,urinary_bladder,0.8754,0.8611577002742118,0.8687805325156325
s0302,brain,0.9695,0.9636136649842145,0.9617494301587294
s0006,autochthon_left,0.7306,0.8015719332306201,0.8002938142857144
s0006,autochthon_right,0.8824,0.8097694747803791,0.7987656007936506
s0006,colon,0.6272,0.7955137233559803,0.8167785880952384
s0006,duodenum,0.7049,0.8328362003595157,0.7747071997354491
s0006,esophagus,0.6474,0.6091761070650975,0.6745181193722949
s0006,femur_left,0.7695,0.5111064533379053,0.697679224206349
s0006,femur_right,0.8954,0.6328393242808089,0.7388804798941794
s0006,gallbladder,0.7493,0.7694089641440132,0.8058413764550264
s0006,gluteus_maximus_left,0.0,0.5718960956854918,0.6473775408730164
s0006,gluteus_minimus_left,0.0,0.33513104962623386,0.5006442916666668
s0006,gluteus_minimus_right,0.0,0.009975787466958702,0.40324547499999974
s0006,heart,0.8067,0.8782317899665145,0.8839100650793648
s0006,hip_left,0.7812,0.7579116616800252,0.8021914406084648
s0006,hip_right,0.8008,0.8122141715726247,0.8040689452380949
s0006,humerus_left,0.5668,0.6438058508349032,0.6680313793650792
s0006,humerus_right,0.6971,0.6140580030403269,0.6464449550986049
s0006,iliac_artery_right,0.0,0.0,0.017223922222222222
s0006,iliopsoas_left,0.8664,0.8137390836056988,0.8236290371693119
s0006,iliopsoas_right,0.8409,0.7774218240270689,0.7820504116402116
s0006,intervertebral_discs,0.8358,0.7801088158370988,0.7894274686507932
s0006,kidney_left,0.7936,0.8657233369292568,0.8583580781746034
s0006,kidney_right,0.7362,0.8081389181237583,0.8238179965007215
s0006,liver,0.8781,0.911227936061279,0.9329114171957674
s0006,lung_left,0.9181,0.9450743028171142,0.9437088350529111
s0006,lung_right,0.9251,0.9352968426628312,0.9494559485449744
s0006,sacrum,0.8334,0.8447312893141725,0.8157303916666675
s0006,small_bowel,0.4148,0.7087723832040664,0.7533931567460317
s0006,spinal_cord,0.7673,0.7727543081357661,0.8072550780423283
s0006,spleen,0.5019,0.639901986122688,0.693546512037037
s0006,stomach,0.747,0.8553082301330875,0.8636411529100533
s0006,urinary_bladder,0.7258,0.46472516176251544,0.601850308730159
s0006,vertebrae,0.8448,0.8330099009468572,0.8478838944444439
s0307,autochthon_left,0.7435,0.7622602051721677,0.7832996321428576
s0307,autochthon_right,0.8288,0.754653783994403,0.7863907630952383
s0307,clavicula_left,0.0,0.0,0.08920708095238096
s0307,colon,0.769,0.6690884098257056,0.7095901869047619
s0307,esophagus,0.7345,0.6925503531524674,0.7153066953703705
s0307,femur_left,0.6809,0.6551676006713877,0.5395950789682541
s0307,femur_right,0.7448,0.910955680966207,0.7350412970899469
s0307,gallbladder,0.8394,0.8991688845728841,0.7264900555555557
s0307,gluteus_maximus_left,0.6597,0.8030665544137406,0.8055613392857147
s0307,gluteus_maximus_right,0.6355,0.7508079987790461,0.8056734198773454
s0307,gluteus_medius_right,0.0,0.3667233017822281,0.22768265039682534
s0307,gluteus_minimus_right,0.0,0.9893346649197052,0.7480714673280416
s0307,heart,0.875,0.895454644896845,0.9004245182539676
s0307,hip_left,0.7934,0.7623988856561559,0.7614673734126992
s0307,hip_right,0.8257,0.8123068047372451,0.7895322119408372
s0307,humerus_left,0.3719,0.6470454679272276,0.6238335203703708
s0307,humerus_right,0.6969,0.8004620086683946,0.7236567456349206
s0307,iliac_vena_right,0.0,0.182834335058379,0.22299770317460324
s0307,iliopsoas_left,0.8711,0.8509457418012842,0.8271273599206354
s0307,iliopsoas_right,0.8296,0.8279008873687326,0.8001308357142861
s0307,intervertebral_discs,0.816,0.8288491213220033,0.8159626694444448
s0307,kidney_left,0.8256,0.7475643456967006,0.772795224867725
s0307,liver,0.9165,0.8594617789611154,0.9085884670634918
s0307,lung_left,0.9438,0.9500568136310128,0.9342374817460323
s0307,lung_right,0.9613,0.9674497562356403,0.950148799867725
s0307,portal_vein_and_splenic_vein,0.8689,0.8647267660218826,0.7619010736772485
s0307,sacrum,0.7949,0.7630145255330057,0.7659637937830693
s0307,small_bowel,0.6401,0.6600991133077043,0.7126449412698411
s0307,spinal_cord,0.8679,0.7996911253196143,0.8103934111111116
s0307,spleen,0.9155,0.8120849801370172,0.8145476423280422
s0307,stomach,0.8009,0.7939882408408627,0.8114782142857148
s0307,urinary_bladder,0.0,0.09236604054335522,0.2210353087301587
s0307,vertebrae,0.8713,0.8345956265060864,0.8465082928571428
s0007,adrenal_gland_left,0.7614,0.7414248956364278,0.517889701984127
s0007,adrenal_gland_right,0.7925,0.2782636534014037,0.239262728968254
s0007,aorta,0.8988,0.9501240421234821,0.849344073412699
s0007,autochthon_left,0.9405,0.938764125027477,0.9173567500000005
s0007,autochthon_right,0.9352,0.9155740256143525,0.9121363356421364
s0007,colon,0.8524,0.7693267369454462,0.801625205555555
s0007,duodenum,0.7412,0.8520018136398357,0.8147555212962965
s0007,esophagus,0.8027,0.6411933693003568,0.5205464005291006
s0007,gallbladder,0.8352,0.9055976863791472,0.819614600132275
s0007,gluteus_medius_left,0.8696,0.7631571018670364,0.6169394589947089
s0007,gluteus_medius_right,0.5988,0.2597989974411126,0.30074426759259265
s0007,heart,0.9476,0.9120012377813674,0.8903721157407406
s0007,hip_left,0.6057,0.5515047034473312,0.5297752468253971
s0007,hip_right,0.7459,0.6754235987232468,0.515406361111111
s0007,iliac_artery_left,0.7729,0.18679540250177956,0.36891388214285714
s0007,iliac_artery_right,0.5865,0.17773352142174018,0.23555155436507935
s0007,iliac_vena_left,0.701,0.16290060765752573,0.18865231547619055
s0007,iliac_vena_right,0.8582,0.18101598174554875,0.28669679140211646
s0007,iliopsoas_left,0.8565,0.9141706236767629,0.8498400920634923
s0007,iliopsoas_right,0.8567,0.9007421401351621,0.8294619441798943
s0007,inferior_vena_cava,0.6253,0.8563017910259884,0.8040046650793649
s0007,intervertebral_discs,0.803,0.874569592038759,0.8229079589947086
s0007,kidney_left,0.8637,0.9544341503064901,0.8638568466931222
s0007,kidney_right,0.8603,0.9356268792176579,0.8569131542328038
s0007,liver,0.948,0.9337607823369236,0.9228576021885524
s0007,lung_left,0.9521,0.9457643309979933,0.9200842500000008
s0007,lung_right,0.9434,0.9773580164625066,0.9117952349206344
s0007,pancreas,0.8293,0.8556760439885404,0.824945591798942
s0007,portal_vein_and_splenic_vein,0.7346,0.5724559027276289,0.6476813698412703
s0007,small_bowel,0.893,0.8887930373431844,0.8489277604497355
s0007,spinal_cord,0.8188,0.8773974074483297,0.8353482964285716
s0007,spleen,0.9168,0.9233056587753251,0.8547501224867733
s0007,stomach,0.8883,0.882020829791726,0.8395275861111104
s0007,vertebrae,0.8468,0.8951580734597571,0.8515740351851844
s0009,adrenal_gland_right,0.6812,0.13000164480939286,0.17500463492063492
s0009,aorta,0.9251,0.8784863556297473,0.8511104978835979
s0009,autochthon_left,0.9415,0.9000627248221788,0.9150260309523813
s0009,autochthon_right,0.944,0.9447819771839674,0.918257388095238
s0009,colon,0.9007,0.860987461109988,0.8486395174603178
s0009,duodenum,0.7788,0.7673914649321338,0.7561393575396819
s0009,esophagus,0.8847,0.8347461809663895,0.7668801133597886
s0009,gallbladder,0.8686,0.7368970515549605,0.7497213140211646
s0009,gluteus_medius_left,0.0,0.0,0.1232193119047619
s0009,heart,0.9108,0.6803413066133274,0.7822868500000001
s0009,hip_left,0.8053,0.6223791263665429,0.6285888123015879
s0009,hip_right,0.7874,0.6963208810216183,0.6202436190476193
s0009,iliac_artery_left,0.8602,0.3227496583013376,0.3992221162698413
s0009,iliac_artery_right,0.7606,0.14375346837429387,0.18463877619047617
s0009,iliac_vena_left,0.0,0.1826186987028813,0.18464789682539678
s0009,iliac_vena_right,0.8852,0.18575943964734196,0.19595155952380947
s0009,iliopsoas_left,0.916,0.8719793194051394,0.8886731185185187
s0009,iliopsoas_right,0.9085,0.8758481273477492,0.8784302052910058
s0009,inferior_vena_cava,0.8116,0.8649701526850504,0.8091086345238098
s0009,intervertebral_discs,0.8862,0.8269499842249729,0.8093429496753247
s0009,kidney_left,0.8267,0.937189641309418,0.9160649194444441
s0009,kidney_right,0.866,0.9184536827756666,0.9088366502044257
s0009,liver,0.9349,0.9231182414878149,0.9191501335978836
s0009,lung_left,0.9654,0.9050469832955549,0.9303135579725835
s0009,lung_right,0.9436,0.8647812094687682,0.9196896965608465
s0009,pancreas,0.6996,0.8108177558449895,0.7901113148148146
s0009,portal_vein_and_splenic_vein,0.9012,0.7940920582477932,0.7508570456349206
s0009,small_bowel,0.686,0.6129272568314943,0.7128346247354499
s0009,spinal_cord,0.8782,0.85280058335451,0.8238994189153446
s0009,spleen,0.8148,0.9354940306877891,0.9070582305555555
s0009,stomach,0.8933,0.8927936049608517,0.8973994333333334
s0009,vertebrae,0.9216,0.8920544123617684,0.8753076614478118
s0311,adrenal_gland_left,0.0,0.15284119464621457,0.09523285238095236
s0311,adrenal_gland_right,0.7349,0.5523733870272924,0.6541467111111112
s0311,aorta,0.6998,0.6474325749903271,0.7091419233044732
s0311,autochthon_left,0.9177,0.9086197267632123,0.9309124160052911
s0311,autochthon_right,0.9041,0.9259727155417022,0.9290740912698406
s0311,colon,0.7391,0.773831466282029,0.7601389375152623
s0311,duodenum,0.7792,0.7911254197117128,0.7899182888888895
s0311,gluteus_medius_left,0.6722,0.5475262354913755,0.6844497616402119
s0311,hip_left,0.7774,0.5678844083188743,0.6737738599206352
s0311,hip_right,0.6757,0.49716971063020177,0.698754113119288
s0311,iliopsoas_left,0.8716,0.9337618991213537,0.8766753283068787
s0311,iliopsoas_right,0.8774,0.9144215764419895,0.8824438202380956
s0311,inferior_vena_cava,0.7061,0.9340834866792826,0.8239540433862437
s0311,intervertebral_discs,0.8764,0.8242813529688557,0.8397193345238099
s0311,kidney_left,0.928,0.8918048894227453,0.8888687876984128
s0311,kidney_right,0.92,0.8839793021946267,0.9006185431216932
s0311,liver,0.8715,0.948138232808903,0.9233120057599804
s0311,lung_left,0.6781,0.8619672227555987,0.8483720235209239
s0311,lung_right,0.5217,0.79106827017734,0.7746824961640215
s0311,pancreas,0.7878,0.7017386195954752,0.7218509376984126
s0311,small_bowel,0.83,0.9167384438399718,0.8872184931216932
s0311,spinal_cord,0.8724,0.8966883540576787,0.8787030378306881
s0311,spleen,0.8917,0.8619117516838621,0.8593179040764802
s0311,stomach,0.7469,0.7063757823496313,0.7515647309523809
s0311,vertebrae,0.8861,0.8807600849956547,0.8620355153439146
s0022,adrenal_gland_left,0.6986,0.5914770950611536,0.5620091738095241
s0022,aorta,0.8173,0.7744258973154362,0.736533849470899
