organ,n,median_vol_mL,radius_mm,tol_mm,spacing_mm,tol_voxels
brain,5,1590.28,72.41,2.414,1.392,1.733
liver,15,1065.23,63.36,2.112,2.707,0.78
lung_right,16,725.57,55.74,1.858,2.612,0.711
lung_left,15,644.3,53.58,1.786,2.707,0.66
heart,11,284.77,40.81,1.36,2.962,0.459
autochthon_left,16,182.24,35.17,1.172,2.612,0.449
small_bowel,14,164.73,34.01,1.134,2.837,0.4
femur_right,11,158.71,33.59,1.12,1.79,0.625
autochthon_right,17,155.6,33.37,1.112,2.707,0.411
colon,20,146.02,32.67,1.089,2.612,0.417
femur_left,8,142.11,32.37,1.079,3.276,0.329
gluteus_maximus_right,7,137.8,32.04,1.068,1.79,0.597
stomach,14,121.8,30.75,1.025,2.837,0.361
spleen,14,119.8,30.58,1.019,2.837,0.359
vertebrae,24,116.15,30.27,1.009,1.799,0.561
kidney_right,11,112.57,29.95,0.998,2.707,0.369
gluteus_medius_right,6,101.48,28.94,0.965,1.799,0.536
kidney_left,14,100.75,28.87,0.962,2.837,0.339
sacrum,8,97.52,28.55,0.952,3.276,0.291
gluteus_maximus_left,6,91.2,27.92,0.931,3.276,0.284
gluteus_medius_left,6,82.51,27.01,0.9,3.018,0.298
hip_right,12,78.59,26.57,0.886,2.612,0.339
hip_left,11,74.99,26.16,0.872,2.707,0.322
iliopsoas_left,15,72.82,25.91,0.864,2.707,0.319
iliopsoas_right,16,67.81,25.3,0.843,2.612,0.323
pancreas,9,53.89,23.43,0.781,2.51,0.311
intervertebral_discs,24,43.25,21.77,0.726,1.799,0.403
urinary_bladder,8,40.19,21.25,0.708,2.735,0.259
spinal_cord,22,38.79,21.0,0.7,1.799,0.389
gluteus_minimus_left,4,35.16,20.32,0.677,3.83,0.177
duodenum,11,33.35,19.97,0.666,2.707,0.246
scapula_left,4,30.58,19.4,0.647,2.405,0.269
gluteus_minimus_right,4,29.88,19.25,0.642,1.538,0.417
aorta,13,29.14,19.09,0.636,2.51,0.253
humerus_right,8,27.64,18.76,0.625,3.095,0.202
inferior_vena_cava,12,24.51,18.02,0.601,2.612,0.23
prostate,3,19.13,16.59,0.553,1.154,0.479
scapula_right,6,15.15,15.35,0.512,1.812,0.282
humerus_left,7,14.41,15.1,0.503,3.218,0.156
clavicula_left,5,11.25,13.9,0.463,1.392,0.333
gallbladder,5,11.04,13.81,0.46,3.218,0.143
portal_vein_and_splenic_vein,9,8.45,12.63,0.421,2.51,0.168
clavicula_right,5,7.36,12.07,0.402,1.392,0.289
iliac_vena_left,4,6.86,11.79,0.393,1.799,0.218
esophagus,13,5.03,10.63,0.354,2.51,0.141
adrenal_gland_left,6,3.78,9.66,0.322,2.597,0.124
iliac_artery_left,5,3.54,9.45,0.315,1.808,0.174
iliac_vena_right,5,3.11,9.06,0.302,1.808,0.167
iliac_artery_right,5,1.42,6.97,0.232,1.808,0.129
adrenal_gland_right,7,1.32,6.81,0.227,2.51,0.09
