kind,group,auc,delta_auc
drop_group,size,0.7886253300400305,-0.04999574141895935
drop_group,position,0.8377480623456265,-0.0008730091133634099
drop_group,extent,0.829017971211992,-0.009603100246997842
drop_group,component,0.8327442296226897,-0.005876841836300217
drop_group,boundary,0.8351503279107401,-0.0034707435482498328
drop_group,intensity,0.8398560599608211,0.0012349885018312357
only_group,size,0.8170407120347499,-0.02158035942423997
only_group,position,0.5697342645430543,-0.2688868069159356
only_group,extent,0.7516182607955029,-0.08700281066348703
only_group,component,0.5805510603866791,-0.25807001107231076
only_group,boundary,0.6269057150157568,-0.21171535644323314
only_group,intensity,0.56100417340942,-0.2776168980495699
