kind,group,auc,delta_auc
drop_group,size,0.7970360275956051,-0.04282003236521603
drop_group,position,0.8394514947619452,-0.0004045651988758836
drop_group,extent,0.8395153734775573,-0.0003406864832637968
drop_group,component,0.837066689379099,-0.002789370581722128
drop_group,boundary,0.8375990120091985,-0.002257047951622626
only_group,size,0.8170407120347499,-0.022815347926071206
only_group,position,0.5697342645430543,-0.2701217954177668
only_group,extent,0.7516182607955029,-0.08823779916531826
only_group,component,0.5805510603866791,-0.259304999574142
only_group,boundary,0.6269057150157568,-0.21295034494506437
