subject,organ,accept,dice,iou,tp,fp,fn,pred_vox,gt_vox,status,num_voxels,volume_mm3,is_empty,centroid_x_rel,centroid_y_rel,centroid_z_rel,bbox_x_rel,bbox_y_rel,bbox_z_rel,bbox_volume_mm3,mask_to_bbox_ratio,num_components,largest_component_fraction,touches_boundary,boundary_fraction,mean_HU,median_HU,std_HU,p05_HU,p95_HU,orig_axcodes,family,vol_err,vol_bad,iou_reject
s0299,colon,0,0.9336,0.8754,10064,1206,226,11270,10290,ok,11270,17338.05,0,0.0909,0.29,0.9501,0.1191,0.1953,0.1111,56306.35,0.3079,1,1.0,1,0.2449,529.21,497.0,146.06,351.0,838.0,RAS,digestive,0.09523809523809523,0,1
s0299,femur_right,1,0.9603,0.9235,193346,5785,10221,199131,203567,ok,199131,306348.09,0,0.5731,0.4814,0.5653,0.3828,0.2578,1.0,2149315.0,0.1425,1,1.0,1,0.0198,609.33,785.0,427.89,44.0,1132.0,RAS,pelvic_bone,0.021791351250448256,0,0
s0299,gluteus_maximus_right,0,0.945,0.8957,235187,11922,15453,247109,250640,ok,247109,380158.62,0,0.5262,0.2267,0.8266,0.5449,0.2402,0.4444,1267059.0,0.3,1,1.0,1,0.0627,460.75,440.0,90.52,368.0,628.0,RAS,muscle,0.014087934886690074,0,1
s0299,gluteus_medius_right,0,0.8433,0.729,10450,2219,1665,12669,12115,ok,12669,19490.3,0,0.6739,0.5386,0.954,0.1191,0.2441,0.0926,58652.45,0.3323,1,1.0,1,0.3198,513.29,508.0,47.15,447.0,597.0,RAS,muscle,0.04572843582335947,0,1
s0299,gluteus_minimus_right,0,0.7609,0.6141,3103,1632,318,4735,3421,ok,4735,7284.44,0,0.5661,0.5367,0.971,0.1055,0.2207,0.0556,28162.41,0.2587,1,1.0,1,0.604,422.43,427.0,34.99,362.0,466.0,RAS,muscle,0.38409821689564455,1,1
s0299,hip_left,0,0.8913,0.8039,3336,712,102,4048,3438,ok,4048,6227.54,0,0.0208,0.5874,0.8624,0.0547,0.1875,0.0926,20676.43,0.3012,1,1.0,1,0.0358,628.26,632.0,141.73,389.35,849.0,RAS,pelvic_bone,0.17742873763816172,1,1
s0299,hip_right,0,0.9383,0.8838,46639,3711,2421,50350,49060,ok,50350,77459.69,0,0.2862,0.4389,0.8921,0.4023,0.4316,0.2222,840459.94,0.0922,1,1.0,1,0.0949,742.95,757.0,171.99,441.0,998.0,RAS,pelvic_bone,0.026294333469221363,0,1
s0299,iliac_artery_right,0,0.8685,0.7676,806,128,116,934,922,ok,934,1436.89,0,0.329,0.671,0.9419,0.0684,0.0566,0.1111,9369.01,0.1534,1,1.0,1,0.2131,263.27,257.0,70.94,152.65,386.7,RAS,great_vessel,0.013015184381778741,0,1
s0299,iliac_vena_right,0,0.9073,0.8303,1884,246,139,2130,2023,ok,2130,3276.84,0,0.2976,0.6423,0.9382,0.0684,0.0938,0.1111,15507.32,0.2113,1,1.0,1,0.1793,541.78,524.0,133.44,338.0,811.55,RAS,great_vessel,0.052891744933267426,0,1
s0299,iliopsoas_right,1,0.9528,0.9099,27939,1588,1180,29527,29119,ok,29527,45425.07,0,0.4476,0.6209,0.9128,0.2383,0.2578,0.2037,272522.72,0.1667,1,1.0,1,0.1501,398.95,397.0,82.14,279.0,532.0,RAS,muscle,0.014011470174113121,0,0
s0299,prostate,0,0.947,0.8993,12220,1151,218,13371,12438,ok,13371,20570.28,0,0.078,0.4388,0.901,0.168,0.1191,0.0741,32282.31,0.6372,1,1.0,1,0.0031,446.42,446.0,43.98,374.0,516.0,RAS,reproductive,0.07501205981669079,0,1
s0299,sacrum,0,0.8797,0.7852,2928,385,416,3313,3344,ok,3313,5096.8,0,0.1114,0.1121,0.9561,0.125,0.0566,0.0926,14276.58,0.357,1,1.0,1,0.3544,657.56,685.0,141.08,397.0,867.0,RAS,pelvic_bone,0.009270334928229665,0,1
s0299,urinary_bladder,0,0.9335,0.8754,30386,4012,314,34398,30700,ok,34398,52918.74,0,0.0961,0.5441,0.9524,0.2109,0.2578,0.0926,109658.92,0.4826,1,1.0,1,0.2219,290.38,246.0,131.42,155.0,570.0,RAS,urinary,0.12045602605863193,1,1
s0302,brain,1,0.9845,0.9695,317696,4164,5829,321860,323525,ok,321860,1545061.62,0,0.5334,0.3922,0.5234,0.6406,0.7383,0.8846,3422254.25,0.4515,1,1.0,1,0.0,223.85,240.0,78.51,63.0,321.0,RAS,neuro,0.005146433815006568,0,0
s0006,autochthon_left,0,0.8443,0.7306,2620,770,196,3390,2816,ok,3390,119179.69,0,0.3676,0.1136,0.39,0.1133,0.3077,0.3672,383343.75,0.3109,1,1.0,1,0.2012,103.66,99.0,28.07,68.0,163.0,RAS,muscle,0.20383522727272727,1,1
