Anatomical Family Grouping (family),Number of Masks (n),Number of Distinct Organs (n_organs),Accept Rate (accept_rate),Area Under ROC Curve (AUC)
costal_cartilage,115,1,0.17391304347826086,0.66
great_vessel,1302,16,0.5814132104454686,0.6864421363906293
digestive,507,5,0.5384615384615384,0.7163989856297548
airway_neck,155,2,0.6774193548387096,0.7447619047619048
heart,176,2,0.7613636363636364,0.7645700071073206
lung,534,5,0.897003745318352,0.799658379199089
vertebrae,1758,25,0.8742889647326507,0.8020766787271437
urinary,481,7,0.5758835758835759,0.8156367240036809
shoulder_bone,553,7,0.8661844484629295,0.842464594030356
solid_abdominal,381,4,0.7454068241469817,0.8426383040511108
neuro,217,3,0.8294930875576036,0.8486486486486486
rib,2182,24,0.8157653528872594,0.8488093241656884
pelvic_bone,368,5,0.9619565217391305,0.8587570621468927
muscle,879,10,0.9306029579067122,0.8953665477574251
