Ablation Configuration Label (config),Ablation Configuration Kind (kind),Number of Features Used (n_features),Area Under ROC Curve (AUC),PR-AUC for Reject Class (pr_auc_reject),Mean Within-Group AUC (within_organ_auc),Number of Groups in Within-Group AUC (n_organs_within),Pooled AUC Change vs Full Model (delta_auc),Within-Group AUC Change vs Full Model (delta_within)
ALL,full,19,0.9001036435105972,0.7628458513780733,0.8086432415304686,93,0.0,0.0
without size,drop_group,16,0.8910767887421809,0.7398125768985561,0.794207991776867,93,-0.00902685476841636,-0.014435249753601664
without position,drop_group,16,0.8935206971878513,0.7501109311760159,0.8007535172226228,93,-0.0065829463227459195,-0.007889724307845847
without extent,drop_group,15,0.8980379985211353,0.7550606427103107,0.8080619355586658,93,-0.0020656449894619344,-0.0005813059718028368
without component,drop_group,17,0.8484784757547666,0.6712030377492973,0.7084270829254182,93,-0.05162516775583059,-0.1002161586050504
without boundary,drop_group,17,0.8997257182562923,0.7621444395076484,0.8107539535422261,93,-0.00037792525430491164,0.0021107120117574985
without intensity,drop_group,14,0.8872934777762918,0.7422032991610648,0.7894430060468847,93,-0.01281016573430549,-0.01920023548358396
only size,only_group,3,0.7243911520232929,0.47516577259590576,0.6273346153851938,93,-0.1757124914873044,-0.18130862614527488
only position,only_group,3,0.7293261941986076,0.4628946354305822,0.6018329238535628,93,-0.17077744931198968,-0.20681031767690583
only extent,only_group,4,0.7692199988009205,0.5058445499394213,0.6172024682954713,93,-0.13088364470967673,-0.1914407732349973
only component,only_group,2,0.6481687443024509,0.43218256017069523,0.619790623117017,93,-0.2519348992081464,-0.18885261841345158
only boundary,only_group,2,0.5180116187726653,0.28745888376759443,0.5093139966558785,93,-0.3820920247379319,-0.2993292448745901
only intensity,only_group,5,0.6996737581456697,0.40829615461607577,0.6022329064977465,93,-0.20042988536492756,-0.2064103350327221
without Largest Connected Component Fraction (largest_component_fraction),drop_feature,18,0.8858076645775013,0.7213312198620309,0.790699055326283,93,-0.014295978933095976,-0.017944186204185586
without Bounding Box Volume in Cubic Millimeters (bbox_volume_mm3),drop_feature,18,0.8993196914983728,0.7605050257505632,0.8069844929498211,93,-0.0007839520122244759,-0.0016587485806475177
without Number of Voxels (num_voxels),drop_feature,18,0.8999709146363023,0.762451203105507,0.808740401741463,93,-0.00013272887429494062,9.716021099437366e-05
without Volume in Cubic Millimeters (volume_mm3),drop_feature,18,0.8998980782445477,0.7623530427321629,0.8083015411454445,93,-0.0002055652660495344,-0.00034170038502412403
without Relative Bounding Box Height (bbox_y_rel),drop_feature,18,0.8998640120891808,0.7628087456621386,0.8100288271904801,93,-0.0002396314214164752,0.0013855856600114569
without Relative Centroid Y Position (centroid_y_rel),drop_feature,18,0.8963570428240474,0.7563205432591279,0.8047785251994765,93,-0.0037466006865498613,-0.0038647163309921684
only Largest Connected Component Fraction (largest_component_fraction),only_feature,1,0.6329090436726267,0.40973018932218763,0.6069841176224107,93,-0.26719459983797056,-0.20165912390805796
only Bounding Box Volume in Cubic Millimeters (bbox_volume_mm3),only_feature,1,0.6210774497731741,0.36814393999739703,0.5797769057696956,93,-0.2790261937374231,-0.22886633576077298
only Number of Voxels (num_voxels),only_feature,1,0.6124941006827067,0.35855946068547834,0.5793675860304625,93,-0.28760954282789053,-0.22927565550000617
only Volume in Cubic Millimeters (volume_mm3),only_feature,1,0.612994731736713,0.3584431214978601,0.5802958361967766,93,-0.2871089117738842,-0.22834740533369202
only Relative Bounding Box Height (bbox_y_rel),only_feature,1,0.6061828534709508,0.33191921339078945,0.5597329945729721,93,-0.29392079003964644,-0.24891024695749653
only Relative Centroid Y Position (centroid_y_rel),only_feature,1,0.5582530026948542,0.27813950793056114,0.4876813345814433,93,-0.341850640815743,-0.3209619069490253
