Organ/Structure Name (organ),Number of Masks (n),Number of Distinct Organs (n_organs),Accept Rate (accept_rate),Area Under ROC Curve (AUC)
adrenal_gland_left,95,1,0.35789473684210527,0.757473481195757
adrenal_gland_right,96,1,0.34375,0.760942760942761
aorta,121,1,0.9256198347107438,0.8650793650793651
atrial_appendage_left,73,1,0.6575342465753424,0.7766666666666666
brachiocephalic_trunk,73,1,0.6575342465753424,0.5133333333333334
brachiocephalic_vein_left,75,1,0.6666666666666666,0.8248
brachiocephalic_vein_right,75,1,0.44,0.5844155844155845
brain,33,1,0.7575757575757576,0.85
colon,103,1,0.47572815533980584,0.7331821617535904
common_carotid_artery_left,74,1,0.5675675675675675,0.6354166666666667
common_carotid_artery_right,73,1,0.3698630136986301,0.7286634460547504
costal_cartilages,115,1,0.17391304347826086,0.66
duodenum,93,1,0.22580645161290322,0.5205026455026456
esophagus,114,1,0.7017543859649122,0.569485294117647
femur_right,71,1,0.9295774647887324,0.9606060606060607
gallbladder,77,1,0.5584415584415584,0.6956224350205198
gluteus_minimus_left,72,1,0.8888888888888888,0.765625
heart,103,1,0.8349514563106796,0.761969904240766
humerus_left,69,1,0.782608695652174,0.8814814814814815
humerus_right,66,1,0.9090909090909091,0.9083333333333332
iliac_artery_left,74,1,0.527027027027027,0.7633699633699634
iliac_artery_right,74,1,0.6351351351351351,0.8187549251379038
iliac_vena_left,74,1,0.6216216216216216,0.8400621118012422
iliac_vena_right,73,1,0.4794520547945205,0.7045112781954888
iliopsoas_left,96,1,0.8229166666666666,0.9746835443037973
iliopsoas_right,100,1,0.8,0.9781250000000002
inferior_vena_cava,112,1,0.5714285714285714,0.7945963541666666
kidney_left,98,1,0.8163265306122449,0.8493055555555555
kidney_right,94,1,0.8297872340425532,0.8982371794871795
lung_lower_lobe_left,115,1,0.8956521739130435,0.970873786407767
lung_lower_lobe_right,111,1,0.918918918918919,0.9825708061002179
lung_middle_lobe_right,101,1,0.9108910891089109,0.9166666666666667
lung_upper_lobe_left,114,1,0.9122807017543859,0.9317307692307693
lung_upper_lobe_right,93,1,0.8387096774193549,0.9743589743589745
pancreas,96,1,0.4375,0.5992063492063492
pulmonary_vein,83,1,0.7108433734939759,0.6588983050847458
rib_left_1,74,1,0.7567567567567568,0.7470238095238095
rib_left_10,100,1,0.83,0.8653437278525867
rib_left_11,99,1,0.8585858585858586,0.8487394957983193
rib_left_12,94,1,0.7872340425531915,0.7918918918918919
rib_left_2,76,1,0.9210526315789473,0.9857142857142858
rib_left_3,82,1,0.8048780487804879,0.8863636363636364
rib_left_4,84,1,0.8452380952380952,0.9165763813651138
rib_left_5,92,1,0.7717391304347826,0.9302481556002683
rib_left_6,99,1,0.7575757575757576,0.9472222222222223
rib_left_7,98,1,0.7857142857142857,0.9727891156462585
rib_left_8,101,1,0.7821782178217822,0.9827387802071346
rib_left_9,100,1,0.8,0.971875
rib_right_1,74,1,0.7027027027027027,0.8225524475524475
rib_right_10,99,1,0.8484848484848485,0.9158730158730158
rib_right_11,99,1,0.8383838383838383,0.9103915662650602
rib_right_12,95,1,0.8421052631578947,0.8008333333333333
rib_right_3,79,1,0.8734177215189873,0.9594202898550724
rib_right_4,81,1,0.8641975308641975,0.8948051948051948
rib_right_5,89,1,0.797752808988764,0.8990610328638498
rib_right_6,97,1,0.8041237113402062,0.9028340080971661
rib_right_7,97,1,0.8041237113402062,0.9574898785425101
rib_right_8,99,1,0.7777777777777778,0.8949232585596222
rib_right_9,99,1,0.8080808080808081,0.980921052631579
sacrum,73,1,0.9178082191780822,0.592039800995025
scapula_left,82,1,0.9024390243902439,0.9780405405405406
scapula_right,83,1,0.9397590361445783,0.9102564102564104
skull,50,1,0.78,0.7645687645687645
small_bowel,93,1,0.45161290322580644,0.758169934640523
spinal_cord,134,1,0.8656716417910447,0.8970306513409962
spleen,101,1,0.9306930693069307,0.5942249240121581
sternum,107,1,0.6635514018691588,0.7949921752738655
stomach,104,1,0.7788461538461539,0.7847557702630166
subclavian_artery_left,74,1,0.5405405405405406,0.7823529411764706
subclavian_artery_right,73,1,0.5753424657534246,0.7803379416282641
superior_vena_cava,79,1,0.8734177215189873,0.6739130434782609
thyroid_gland,73,1,0.410958904109589,0.7930232558139535
trachea,82,1,0.9146341463414634,0.9123809523809523
urinary_bladder,74,1,0.7027027027027027,0.7963286713286714
vertebrae_C1,33,1,0.3939393939393939,0.6538461538461537
vertebrae_C2,32,1,0.75,0.96875
vertebrae_C5,34,1,0.6176470588235294,0.7985347985347986
vertebrae_C6,53,1,0.6792452830188679,0.7892156862745098
vertebrae_C7,71,1,0.8591549295774648,0.6459016393442623
vertebrae_L1,94,1,0.9468085106382979,0.9393258426966292
vertebrae_L2,86,1,0.8953488372093024,0.9567099567099566
vertebrae_S1,72,1,0.7916666666666666,0.5532163742690058
vertebrae_T1,72,1,0.9027777777777778,0.8461538461538461
vertebrae_T10,100,1,0.95,0.9663157894736841
vertebrae_T12,100,1,0.94,0.8297872340425533
vertebrae_T2,73,1,0.9041095890410958,0.9285714285714286
vertebrae_T3,74,1,0.8378378378378378,0.9005376344086022
vertebrae_T4,73,1,0.821917808219178,0.9217948717948719
vertebrae_T5,75,1,0.8533333333333334,0.9673295454545454
vertebrae_T6,75,1,0.8266666666666667,0.9714640198511166
vertebrae_T7,80,1,0.85,0.9129901960784315
vertebrae_T8,89,1,0.8651685393258427,0.7521645021645021
vertebrae_T9,99,1,0.9090909090909091,0.9259259259259259
