model,n,accept_rate,auc,auc_ci_lo,auc_ci_hi,pr_auc_accept,pr_auc_reject,minority_class,pr_auc_minority
randomforest_raw-organ,72939,0.7836,0.903,0.8983,0.9076,0.967,0.7725,reject,0.7725
histgradboost_raw-organ,72939,0.7836,0.9026,0.8978,0.9072,0.9665,0.7828,reject,0.7828
randomforest_raw-rel,72939,0.7836,0.9022,0.8973,0.9067,0.9662,0.7715,reject,0.7715
histgradboost_raw-rel,72939,0.7836,0.9005,0.8955,0.9052,0.9657,0.7782,reject,0.7782
randomforest_raw,72939,0.7836,0.899,0.8941,0.9036,0.9653,0.7664,reject,0.7664
histgradboost_raw,72939,0.7836,0.8957,0.891,0.9003,0.9638,0.7676,reject,0.7676
logreg_raw-organ,72939,0.7836,0.8665,0.8611,0.8712,0.9533,0.679,reject,0.679
logreg_raw-rel,72939,0.7836,0.836,0.8305,0.841,0.942,0.601,reject,0.601
histgradboost_rel,72939,0.7836,0.8205,0.8148,0.8263,0.9303,0.6593,reject,0.6593
logreg_raw,72939,0.7836,0.8204,0.815,0.8257,0.9343,0.5708,reject,0.5708
randomforest_rel,72939,0.7836,0.819,0.8132,0.8249,0.9299,0.6524,reject,0.6524
tree-depth3_raw-organ,72939,0.7836,0.8032,0.796,0.8098,0.9151,0.586,reject,0.586
tree-depth3_raw,72939,0.7836,0.8032,0.7961,0.8097,0.9151,0.5862,reject,0.5862
tree-depth3_raw-rel,72939,0.7836,0.8032,0.7961,0.8097,0.9151,0.5862,reject,0.5862
organ-rate_baseline,72939,0.7836,0.7757,0.7688,0.7827,0.9129,0.5644,reject,0.5644
logreg_rel,72939,0.7836,0.739,0.7313,0.7458,0.8858,0.5141,reject,0.5141
tree-depth3_rel,72939,0.7836,0.7311,0.7219,0.7396,0.8772,0.5065,reject,0.5065
always-accept,72939,0.7836,0.4943,0.482,0.5062,0.7812,0.214,reject,0.214
