family,n,coverage,mean_width,avg_cal_n,reliable
airway_neck,155,0.8193548387096774,0.15268104830846307,37.0,1
costal_cartilage,115,0.8434782608695652,0.13129663669417044,27.4,1
digestive,507,0.7909270216962525,0.178379432320782,127.4,1
great_vessel,1302,0.8248847926267281,0.15525555525215462,322.8,1
heart,176,0.8693181818181818,0.12423551084662932,42.6,1
lung,534,0.8033707865168539,0.08054428939490639,126.4,1
muscle,879,0.8236632536973834,0.055226209186320846,233.8,1
neuro,217,0.8064516129032258,0.10486963784098989,53.0,1
pelvic_bone,368,0.8260869565217391,0.04248715756007591,100.6,1
reproductive,44,0.7954545454545454,0.4970596968463404,11.4,1
rib,2182,0.8015582034830431,0.12805535321616554,531.0,1
shoulder_bone,553,0.8191681735985533,0.09769713841726123,131.4,1
solid_abdominal,381,0.8031496062992126,0.13327023988163691,97.0,1
urinary,481,0.8253638253638254,0.19291475061672195,123.6,1
vertebrae,1758,0.8071672354948806,0.10586148382168652,427.4,1
