alpha,nominal,variant,coverage,mean_width,median_width,spearman_width_err
0.2,0.8,uncalibrated (raw quantiles),0.5870285951098217,0.09747823448346113,0.05047680100963425,0.5126122781876454
0.2,0.8,CQR global,0.8064649813510153,0.11632651380557554,0.06978448518510061,0.5130025804674839
0.2,0.8,"CQR global (clipped [0,1])",0.8064649813510153,0.11615739409576581,0.06974252247112533,0.513578647682903
0.2,0.8,Mondrian (per-family),0.8125777041027766,0.1219254397858749,0.07617843114066486,0.524444904571576
0.2,0.8,"Mondrian (clipped [0,1])",0.8125777041027766,0.12102611629409224,0.07577525973749732,0.5259274458623605
0.1,0.9,uncalibrated (raw quantiles),0.7202652300041442,0.13671048379589526,0.07623057896424262,0.5195278257473935
0.1,0.9,CQR global,0.9053046000828844,0.16640863878062515,0.10636538809176971,0.516400812579995
0.1,0.9,"CQR global (clipped [0,1])",0.9053046000828844,0.16579539340206245,0.10619190750978047,0.5201564905117341
0.1,0.9,Mondrian (per-family),0.906133443845835,0.17895195515569343,0.11743990090551909,0.5251903941611061
0.1,0.9,"Mondrian (clipped [0,1])",0.906133443845835,0.1748330911729478,0.11502974295833723,0.5337234331073093
