family,n,coverage,mean_width
pelvic_bone,368,0.5271739130434783,0.032876536739605215
muscle,879,0.6598407281001137,0.04666577184414478
shoulder_bone,553,0.6238698010849909,0.07095946089906675
lung,534,0.5318352059925093,0.07164942824687927
neuro,217,0.5898617511520737,0.0791057886025022
vertebrae,1758,0.5802047781569966,0.08662549476383098
heart,176,0.7329545454545454,0.09382717953466933
costal_cartilage,115,0.6521739130434783,0.09753870379347904
rib,2182,0.6310724106324473,0.10694730432885854
solid_abdominal,381,0.5826771653543307,0.11154183218156935
great_vessel,1302,0.6459293394777266,0.11970380447739942
airway_neck,155,0.7419354838709677,0.12844924731867324
digestive,507,0.6094674556213018,0.13041437865028999
urinary,481,0.6195426195426196,0.14910002101357892
reproductive,44,0.6818181818181818,0.2936071213375074
