organ,n,median_vol_mL,radius_mm,tol_mm,spacing_mm,tol_voxels
liver,107,1400.04,69.4,2.313,1.5,1.542
brain,32,1083.34,63.71,2.124,1.5,1.416
small_bowel,90,842.76,58.6,1.953,1.5,1.302
lung_lower_lobe_right,110,791.71,57.39,1.913,1.5,1.275
lung_upper_lobe_right,91,772.74,56.93,1.898,1.5,1.265
lung_upper_lobe_left,114,696.56,54.99,1.833,1.5,1.222
lung_lower_lobe_left,113,657.07,53.93,1.798,1.5,1.198
colon,102,621.09,52.93,1.764,1.5,1.176
heart,102,543.73,50.63,1.688,1.5,1.125
gluteus_maximus_right,72,506.73,49.46,1.649,1.5,1.099
gluteus_maximus_left,72,477.94,48.5,1.617,1.5,1.078
hip_left,76,361.67,44.2,1.473,1.5,0.982
hip_right,76,358.49,44.07,1.469,1.5,0.979
lung_middle_lobe_right,101,344.45,43.49,1.45,1.5,0.966
autochthon_left,124,339.09,43.26,1.442,1.5,0.961
autochthon_right,124,323.72,42.6,1.42,1.5,0.947
skull,50,296.11,41.35,1.378,1.5,0.919
stomach,102,260.65,39.63,1.321,1.5,0.881
gluteus_medius_right,73,241.46,38.63,1.288,1.5,0.858
gluteus_medius_left,75,236.36,38.36,1.279,1.5,0.852
iliopsoas_left,96,226.33,37.81,1.26,1.5,0.84
iliopsoas_right,99,213.6,37.08,1.236,1.5,0.824
spleen,101,199.0,36.22,1.207,1.5,0.805
urinary_bladder,72,186.75,35.46,1.182,1.5,0.788
aorta,121,181.87,35.15,1.172,1.5,0.781
femur_left,72,180.12,35.03,1.168,1.5,0.779
femur_right,70,178.21,34.91,1.164,1.5,0.776
sacrum,73,173.08,34.57,1.152,1.5,0.768
kidney_right,92,138.45,32.09,1.07,1.5,0.713
kidney_left,97,137.88,32.05,1.068,1.5,0.712
costal_cartilages,115,119.35,30.54,1.018,1.5,0.679
kidney_cyst_left,3,113.57,30.04,1.001,1.5,0.668
scapula_left,81,87.52,27.54,0.918,1.5,0.612
scapula_right,83,86.28,27.41,0.914,1.5,0.609
pancreas,94,63.74,24.78,0.826,1.5,0.551
vertebrae_L5,74,63.29,24.72,0.824,1.5,0.549
vertebrae_L3,74,63.21,24.71,0.824,1.5,0.549
vertebrae_L4,78,63.12,24.7,0.823,1.5,0.549
gluteus_minimus_right,71,60.23,24.32,0.811,1.5,0.54
vertebrae_L2,85,57.31,23.92,0.797,1.5,0.531
gluteus_minimus_left,72,57.09,23.89,0.796,1.5,0.531
inferior_vena_cava,112,56.07,23.74,0.791,1.5,0.528
spinal_cord,133,54.98,23.59,0.786,1.5,0.524
vertebrae_L1,94,52.83,23.28,0.776,1.5,0.517
humerus_left,68,51.19,23.03,0.768,1.5,0.512
duodenum,90,48.46,22.62,0.754,1.5,0.503
vertebrae_S1,71,48.0,22.54,0.751,1.5,0.501
sternum,107,47.96,22.54,0.751,1.5,0.501
vertebrae_T12,100,47.1,22.4,0.747,1.5,0.498
humerus_right,66,47.09,22.4,0.747,1.5,0.498
vertebrae_T11,99,43.34,21.79,0.726,1.5,0.484
vertebrae_T10,100,39.37,21.1,0.703,1.5,0.469
vertebrae_T9,99,34.59,20.21,0.674,1.5,0.449
trachea,81,34.16,20.13,0.671,1.5,0.447
vertebrae_T8,89,31.4,19.57,0.652,1.5,0.435
vertebrae_T7,80,30.91,19.47,0.649,1.5,0.433
prostate,37,29.74,19.22,0.641,1.5,0.427
iliac_vena_left,74,29.27,19.12,0.637,1.5,0.425
vertebrae_T6,74,28.03,18.84,0.628,1.5,0.419
esophagus,114,27.34,18.69,0.623,1.5,0.415
iliac_vena_right,73,25.76,18.32,0.611,1.5,0.407
vertebrae_T5,74,24.71,18.07,0.602,1.5,0.402
portal_vein_and_splenic_vein,92,24.48,18.01,0.6,1.5,0.4
clavicula_right,73,24.27,17.96,0.599,1.5,0.399
vertebrae_T4,72,23.51,17.77,0.592,1.5,0.395
vertebrae_T2,73,23.4,17.74,0.591,1.5,0.394
clavicula_left,73,22.97,17.63,0.588,1.5,0.392
vertebrae_T3,74,22.73,17.57,0.586,1.5,0.391
pulmonary_vein,82,22.54,17.52,0.584,1.5,0.389
vertebrae_T1,72,22.15,17.42,0.581,1.5,0.387
gallbladder,75,22.11,17.41,0.58,1.5,0.387
rib_right_7,97,19.55,16.71,0.557,1.5,0.371
rib_right_6,97,19.52,16.7,0.557,1.5,0.371
superior_vena_cava,79,19.46,16.69,0.556,1.5,0.371
rib_left_6,99,18.62,16.44,0.548,1.5,0.365
rib_left_7,98,18.61,16.44,0.548,1.5,0.365
rib_right_8,99,17.74,16.18,0.539,1.5,0.36
vertebrae_C2,32,17.47,16.1,0.537,1.5,0.358
rib_right_5,88,17.43,16.08,0.536,1.5,0.357
rib_left_9,100,17.35,16.06,0.535,1.5,0.357
iliac_artery_right,74,17.17,16.0,0.533,1.5,0.356
rib_right_9,99,17.14,16.0,0.533,1.5,0.355
rib_left_8,101,16.87,15.91,0.53,1.5,0.354
iliac_artery_left,74,16.54,15.81,0.527,1.5,0.351
rib_left_5,90,16.49,15.79,0.526,1.5,0.351
rib_right_4,79,15.45,15.45,0.515,1.5,0.343
vertebrae_C7,71,15.24,15.38,0.513,1.5,0.342
rib_left_4,83,14.96,15.29,0.51,1.5,0.34
rib_left_10,99,14.24,15.04,0.501,1.5,0.334
rib_right_10,99,13.83,14.89,0.496,1.5,0.331
thyroid_gland,73,13.2,14.66,0.489,1.5,0.326
vertebrae_C3,23,13.13,14.63,0.488,1.5,0.325
vertebrae_C1,32,12.74,14.49,0.483,1.5,0.322
vertebrae_C4,25,12.74,14.49,0.483,1.5,0.322
rib_left_3,79,12.21,14.29,0.476,1.5,0.317
rib_right_3,78,12.15,14.26,0.475,1.5,0.317
