kind,group,auc,delta_auc
drop_group,size,0.8579340635934579,-0.007792456943975012
drop_group,position,0.8588783806715042,-0.006848139865928693
drop_group,extent,0.8619458533635387,-0.0037806671738942477
drop_group,component,0.7976432292912391,-0.06808329124619383
drop_group,boundary,0.8637848263735556,-0.00194169416387735
drop_group,intensity,0.8592155603413767,-0.006510960196056237
only_group,size,0.6977959388889701,-0.16793058164846286
only_group,position,0.6695264731044296,-0.19620004743300334
only_group,extent,0.7135991352288744,-0.15212738530855852
only_group,component,0.5544987962994201,-0.3112277242380128
only_group,boundary,0.5081772206777683,-0.35754929985966466
only_group,intensity,0.6402699527029511,-0.22545656783448187
