IoU Accept Threshold Tested (iou_threshold),Anatomical Family Grouping (family),Number of Masks (n),Accept Rate (accept_rate),Area Under ROC Curve (AUC),Sufficient Data for AUC (has_sufficient_data)
0.7,airway_neck,155,0.9225806451612903,0.9755244755244756,True
0.7,costal_cartilage,115,0.9391304347826087,0.8915343915343915,True
0.7,digestive,507,0.9013806706114399,0.9004814004376368,True
0.7,great_vessel,1302,0.9408602150537635,0.876342433077127,True
0.7,heart,176,0.9886363636363636,,False
0.7,lung,534,0.9569288389513109,0.9695396919935335,True
0.7,muscle,879,0.9897610921501706,0.8962324393358877,True
0.7,neuro,217,0.9447004608294931,0.9804878048780488,True
0.7,pelvic_bone,368,0.9918478260869565,,False
0.7,reproductive,44,0.7045454545454546,0.6923076923076923,True
0.7,rib,2182,0.923006416131989,0.9267198065919516,True
0.7,shoulder_bone,553,0.9746835443037974,0.9517625231910947,True
0.7,solid_abdominal,381,0.916010498687664,0.9273818051575932,True
0.7,urinary,481,0.8752598752598753,0.88646080760095,True
0.7,vertebrae,1758,0.9550625711035268,0.8348135191984378,True
0.75,airway_neck,155,0.9161290322580645,0.9647887323943662,True
0.75,costal_cartilage,115,0.9304347826086956,0.8960280373831776,True
0.75,digestive,507,0.8856015779092702,0.9090315643959758,True
0.75,great_vessel,1302,0.9116743471582182,0.8476795721768433,True
0.75,heart,176,0.9886363636363636,,False
0.75,lung,534,0.947565543071161,0.9743788819875776,True
0.75,muscle,879,0.987485779294653,0.9176267281105991,True
0.75,neuro,217,0.9400921658986175,0.9698340874811463,True
0.75,pelvic_bone,368,0.9891304347826086,,False
0.75,reproductive,44,0.6136363636363636,0.6427015250544662,True
0.75,rib,2182,0.9138405132905592,0.9225095499263749,True
0.75,shoulder_bone,553,0.9656419529837251,0.9276562191996846,True
0.75,solid_abdominal,381,0.9081364829396326,0.9380677126341866,True
0.75,urinary,481,0.8440748440748441,0.8674712643678161,True
0.75,vertebrae,1758,0.9488054607508533,0.8368771649347189,True
0.8,airway_neck,155,0.8838709677419355,0.9302514193025142,True
0.8,costal_cartilage,115,0.8608695652173913,0.8693181818181817,True
0.8,digestive,507,0.8362919132149902,0.897164128210957,True
0.8,great_vessel,1302,0.8663594470046083,0.8222517730496454,True
0.8,heart,176,0.9602272727272727,0.6715976331360947,True
0.8,lung,534,0.9344569288389513,0.9422845691382765,True
0.8,muscle,879,0.9806598407281001,0.9630135116691689,True
0.8,neuro,217,0.9262672811059908,0.9698383084577115,True
0.8,pelvic_bone,368,0.9836956521739131,0.9811233885819521,True
0.8,reproductive,44,0.5681818181818182,0.5852631578947368,True
0.8,rib,2182,0.8978001833180568,0.9317236532778459,True
0.8,shoulder_bone,553,0.9475587703435805,0.9468281126612266,True
0.8,solid_abdominal,381,0.8976377952755905,0.9313240365871945,True
0.8,urinary,481,0.8066528066528067,0.8260447843919744,True
0.8,vertebrae,1758,0.9368600682593856,0.8216112287150538,True
0.85,airway_neck,155,0.8258064516129032,0.8608217592592593,True
0.85,costal_cartilage,115,0.6695652173913044,0.8284347231715652,True
0.85,digestive,507,0.7238658777120316,0.8305760996496692,True
0.85,great_vessel,1302,0.7780337941628265,0.7988263303695555,True
0.85,heart,176,0.8977272727272727,0.7918424753867792,True
0.85,lung,534,0.9157303370786517,0.9470120427175642,True
0.85,muscle,879,0.9681456200227532,0.9606345475910694,True
0.85,neuro,217,0.9078341013824884,0.9852791878172589,True
0.85,pelvic_bone,368,0.9728260869565217,0.9424581005586592,True
0.85,reproductive,44,0.18181818181818182,0.4305555555555555,True
0.85,rib,2182,0.8675527039413382,0.9239924178863305,True
0.85,shoulder_bone,553,0.9330922242314648,0.9146763042111881,True
0.85,solid_abdominal,381,0.8503937007874016,0.8809833225037903,True
0.85,urinary,481,0.7318087318087318,0.8459302325581396,True
0.85,vertebrae,1758,0.9146757679180887,0.8269423714759535,True
0.9,airway_neck,155,0.6774193548387096,0.9131428571428571,True
0.9,costal_cartilage,115,0.17391304347826086,0.7252631578947369,True
0.9,digestive,507,0.5384615384615384,0.7830374753451677,True
0.9,great_vessel,1302,0.5814132104454686,0.8118332868760073,True
0.9,heart,176,0.7613636363636364,0.8274697938877043,True
0.9,lung,534,0.897003745318352,0.9457582083886885,True
0.9,muscle,879,0.9306029579067122,0.944586957393082,True
0.9,neuro,217,0.8294930875576036,0.895045045045045,True
0.9,pelvic_bone,368,0.9619565217391305,0.8579499596448749,True
0.9,reproductive,44,0.0,,False
0.9,rib,2182,0.8157653528872594,0.9031332103527308,True
0.9,shoulder_bone,553,0.8661844484629295,0.8568244653839644,True
