Anatomical Family Grouping (family),Number of Thresholds with Sufficient Data (n_thresholds_evaluated),Minimum AUC Across Thresholds (auc_min),Maximum AUC Across Thresholds (auc_max),AUC Range Across Thresholds (auc_range),Minimum Accept Rate Across Thresholds (accept_rate_min),Maximum Accept Rate Across Thresholds (accept_rate_max),Accept Rate Range Across Thresholds (accept_rate_range)
reproductive,4,0.4305555555555555,0.6923076923076923,0.26175213675213677,0.0,0.7045454545454546,0.7045454545454546
neuro,6,0.7544526901669759,0.9852791878172589,0.23082649765028296,0.3548387096774194,0.9447004608294931,0.5898617511520737
heart,4,0.6553559547571524,0.8274697938877043,0.1721138391305519,0.05113636363636364,0.9886363636363636,0.9375
costal_cartilage,5,0.7252631578947369,0.8960280373831776,0.17076487948844066,0.0,0.9391304347826087,0.9391304347826087
shoulder_bone,6,0.8227485614880236,0.9517625231910947,0.1290139617030711,0.5750452079566004,0.9746835443037974,0.39963833634719703
digestive,6,0.7830374753451677,0.9090315643959758,0.1259940890508081,0.14792899408284024,0.9013806706114399,0.7534516765285997
pelvic_bone,4,0.8579499596448749,0.9811233885819521,0.12317342893707728,0.7907608695652174,0.9918478260869565,0.20108695652173914
airway_neck,6,0.8608217592592593,0.9755244755244756,0.11470271626521633,0.3548387096774194,0.9225806451612903,0.567741935483871
rib,6,0.82216747293546,0.9317236532778459,0.1095561803423859,0.5669110907424382,0.923006416131989,0.3560953253895508
urinary,6,0.8260447843919744,0.9316278890303662,0.10558310463839182,0.3388773388773389,0.8752598752598753,0.5363825363825363
lung,6,0.8848129209560065,0.9743788819875776,0.0895659610315711,0.8071161048689138,0.9569288389513109,0.14981273408239704
muscle,6,0.8800114547537228,0.9630135116691689,0.08300205691544615,0.6689419795221843,0.9897610921501706,0.32081911262798635
great_vessel,6,0.7988263303695555,0.876342433077127,0.07751610270757148,0.15360983102918588,0.9408602150537635,0.7872503840245776
solid_abdominal,6,0.860752141716277,0.9380677126341866,0.07731557091790964,0.5196850393700787,0.916010498687664,0.39632545931758534
vertebrae,6,0.8017115358782486,0.8368771649347189,0.03516562905647025,0.7127417519908987,0.9550625711035268,0.24232081911262804
