Organ/Structure Name (organ),Number of Masks (n),Accept Rate (accept_rate),Area Under ROC Curve (AUC),Anatomical Family Grouping (family)
sacrum,73,0.9178082191780822,0.43781094527363185,pelvic_bone
duodenum,93,0.22580645161290322,0.5198412698412698,digestive
brachiocephalic_trunk,73,0.6575342465753424,0.5266666666666666,great_vessel
vertebrae_C7,71,0.8591549295774648,0.5442622950819672,vertebrae
vertebrae_T8,89,0.8651685393258427,0.5606060606060606,vertebrae
brachiocephalic_vein_right,75,0.44,0.5634920634920635,great_vessel
spleen,101,0.9306930693069307,0.5790273556231004,solid_abdominal
vertebrae_T2,73,0.9041095890410958,0.5800865800865801,vertebrae
vertebrae_S1,72,0.7916666666666666,0.5824561403508772,vertebrae
superior_vena_cava,79,0.8734177215189873,0.6101449275362318,great_vessel
gallbladder,77,0.5584415584415584,0.6238030095759234,solid_abdominal
vertebrae_T12,100,0.94,0.6276595744680852,vertebrae
esophagus,114,0.7017543859649122,0.6625000000000001,digestive
vertebrae_T3,74,0.8378378378378378,0.6653225806451613,vertebrae
common_carotid_artery_right,73,0.3698630136986301,0.6706924315619968,great_vessel
common_carotid_artery_left,74,0.5675675675675675,0.6770833333333333,great_vessel
vertebrae_C1,33,0.3939393939393939,0.6846153846153846,vertebrae
pancreas,96,0.4375,0.6882716049382716,solid_abdominal
vertebrae_T1,72,0.9027777777777778,0.6967032967032968,vertebrae
small_bowel,93,0.45161290322580644,0.6998132586367881,digestive
iliac_vena_right,73,0.4794520547945205,0.7015037593984962,great_vessel
adrenal_gland_right,96,0.34375,0.7138047138047139,urinary
colon,103,0.47572815533980584,0.7237339380196524,digestive
costal_cartilages,115,0.17391304347826086,0.7252631578947369,costal_cartilage
adrenal_gland_left,95,0.35789473684210527,0.7261330761812922,urinary
subclavian_artery_right,73,0.5753424657534246,0.7304147465437789,great_vessel
rib_right_12,95,0.8421052631578947,0.7341666666666666,rib
rib_left_1,74,0.7567567567567568,0.7440476190476191,rib
vertebrae_C5,34,0.6176470588235294,0.7509157509157509,vertebrae
vertebrae_C6,53,0.6792452830188679,0.7549019607843137,vertebrae
rib_left_12,94,0.7872340425531915,0.7567567567567567,rib
scapula_right,83,0.9397590361445783,0.7743589743589743,shoulder_bone
iliac_artery_left,74,0.527027027027027,0.7772893772893773,great_vessel
urinary_bladder,74,0.7027027027027027,0.7884615384615384,urinary
vertebrae_T7,80,0.85,0.7892156862745098,vertebrae
thyroid_gland,73,0.410958904109589,0.7899224806201551,airway_neck
vertebrae_T9,99,0.9090909090909091,0.7901234567901234,vertebrae
rib_right_1,74,0.7027027027027027,0.7910839160839161,rib
subclavian_artery_left,74,0.5405405405405406,0.7919117647058824,great_vessel
sternum,107,0.6635514018691588,0.8028169014084507,shoulder_bone
iliac_artery_right,74,0.6351351351351351,0.8092986603624901,great_vessel
vertebrae_T4,73,0.821917808219178,0.8102564102564103,vertebrae
atrial_appendage_left,73,0.6575342465753424,0.8183333333333332,heart
pulmonary_vein,83,0.7108433734939759,0.8234463276836157,great_vessel
skull,50,0.78,0.8275058275058276,neuro
brain,33,0.7575757575757576,0.835,neuro
rib_left_11,99,0.8585858585858586,0.8445378151260504,rib
vertebrae_T5,75,0.8533333333333334,0.8451704545454546,vertebrae
brachiocephalic_vein_left,75,0.6666666666666666,0.8456,great_vessel
rib_right_8,99,0.7777777777777778,0.8488783943329398,rib
kidney_left,98,0.8163265306122449,0.8534722222222223,urinary
humerus_right,66,0.9090909090909091,0.861111111111111,shoulder_bone
heart,103,0.8349514563106796,0.8632010943912448,heart
inferior_vena_cava,112,0.5714285714285714,0.8694661458333334,great_vessel
rib_right_5,89,0.797752808988764,0.8708920187793427,rib
vertebrae_T10,100,0.95,0.871578947368421,vertebrae
stomach,104,0.7788461538461539,0.8722490606548577,digestive
rib_left_10,100,0.83,0.8731396172927002,rib
rib_right_11,99,0.8383838383838383,0.875,rib
rib_right_4,81,0.8641975308641975,0.8779220779220779,rib
kidney_right,94,0.8297872340425532,0.8830128205128205,urinary
iliac_vena_left,74,0.6216216216216216,0.888975155279503,great_vessel
humerus_left,69,0.782608695652174,0.8901234567901234,shoulder_bone
rib_left_3,82,0.8048780487804879,0.8901515151515151,rib
rib_right_6,97,0.8041237113402062,0.8927125506072875,rib
gluteus_minimus_left,72,0.8888888888888888,0.89453125,muscle
lung_upper_lobe_left,114,0.9122807017543859,0.898076923076923,lung
vertebrae_T6,75,0.8266666666666667,0.9106699751861043,vertebrae
rib_right_7,97,0.8041237113402062,0.9143049932523617,rib
rib_left_5,92,0.7717391304347826,0.9195171026156942,rib
rib_left_4,84,0.8452380952380952,0.9198266522210184,rib
spinal_cord,134,0.8656716417910447,0.9219348659003831,neuro
rib_left_6,99,0.7575757575757576,0.9244444444444444,rib
aorta,121,0.9256198347107438,0.9285714285714286,great_vessel
lung_middle_lobe_right,101,0.9108910891089109,0.9311594202898551,lung
trachea,82,0.9146341463414634,0.9333333333333332,airway_neck
vertebrae_L2,86,0.8953488372093024,0.9336219336219336,vertebrae
scapula_left,82,0.9024390243902439,0.9375,shoulder_bone
rib_right_10,99,0.8484848484848485,0.9428571428571428,rib
vertebrae_L1,94,0.9468085106382979,0.9438202247191011,vertebrae
rib_left_9,100,0.8,0.95,rib
vertebrae_C2,32,0.75,0.953125,vertebrae
lung_lower_lobe_left,115,0.8956521739130435,0.959546925566343,lung
femur_right,71,0.9295774647887324,0.9606060606060606,pelvic_bone
rib_right_3,79,0.8734177215189873,0.9608695652173914,rib
lung_upper_lobe_right,93,0.8387096774193549,0.9641025641025641,lung
lung_lower_lobe_right,111,0.918918918918919,0.9662309368191722,lung
iliopsoas_left,96,0.8229166666666666,0.9687267311988086,muscle
rib_left_7,98,0.7857142857142857,0.9696969696969697,rib
rib_left_8,101,0.7821782178217822,0.9700805523590333,rib
iliopsoas_right,100,0.8,0.974375,muscle
rib_right_9,99,0.8080808080808081,0.975,rib
rib_left_2,76,0.9210526315789473,0.9785714285714285,rib
