organ,n_scored,mean_dice,mean_iou,n_accept,accept_rate
adrenal_gland_left,19,0.6864,0.553,0,0.0
adrenal_gland_right,18,0.7277,0.5953,0,0.0
aorta,26,0.818,0.7334,3,0.1034
autochthon_left,31,0.8496,0.7831,16,0.5161
autochthon_right,32,0.8401,0.7701,14,0.4242
brain,9,0.9685,0.9408,8,0.8889
clavicula_left,7,0.7218,0.5762,0,0.0
clavicula_right,7,0.66,0.5399,0,0.0
colon,29,0.7791,0.672,2,0.0667
duodenum,22,0.6961,0.5797,1,0.0435
esophagus,22,0.7513,0.6287,0,0.0
femur_left,7,0.9101,0.8389,2,0.25
femur_right,7,0.9428,0.8928,5,0.5556
gallbladder,12,0.8265,0.7247,1,0.0588
gluteus_maximus_left,8,0.8546,0.7623,2,0.2
gluteus_maximus_right,8,0.8977,0.8201,1,0.1
gluteus_medius_left,11,0.8221,0.7297,3,0.2308
gluteus_medius_right,11,0.8183,0.7451,4,0.3077
gluteus_minimus_left,5,0.8379,0.7523,0,0.0
gluteus_minimus_right,8,0.7976,0.708,1,0.125
heart,20,0.9093,0.8416,7,0.35
hip_left,15,0.8513,0.7483,0,0.0
hip_right,16,0.8247,0.7184,0,0.0
humerus_left,9,0.7498,0.6592,1,0.1111
humerus_right,8,0.7251,0.6255,1,0.1111
iliac_artery_left,11,0.749,0.6449,0,0.0
iliac_artery_right,11,0.6971,0.5591,0,0.0
iliac_vena_left,13,0.658,0.5135,0,0.0
iliac_vena_right,14,0.6969,0.5547,0,0.0
iliopsoas_left,25,0.8091,0.7198,3,0.1111
iliopsoas_right,26,0.8287,0.7363,2,0.0741
inferior_vena_cava,23,0.7425,0.642,1,0.0357
intervertebral_discs,37,0.814,0.7015,0,0.0
kidney_left,22,0.8619,0.7872,10,0.4545
kidney_right,22,0.8229,0.7396,6,0.25
liver,24,0.9095,0.8502,13,0.5417
lung_left,21,0.9542,0.9145,15,0.6522
lung_right,23,0.9254,0.8866,18,0.7826
pancreas,20,0.6143,0.4917,0,0.0
portal_vein_and_splenic_vein,20,0.6061,0.4936,0,0.0
prostate,4,0.6891,0.5582,0,0.0
sacrum,13,0.8297,0.7197,0,0.0
scapula_left,6,0.7314,0.5818,0,0.0
scapula_right,6,0.7262,0.575,0,0.0
small_bowel,24,0.7622,0.6527,1,0.037
spinal_cord,39,0.8673,0.7817,1,0.025
spleen,22,0.8958,0.8214,9,0.3913
stomach,23,0.8049,0.7163,4,0.1739
urinary_bladder,5,0.7457,0.6703,2,0.25
vertebrae,38,0.8587,0.7692,2,0.0488
