family,n,coverage,mean_width,avg_cal_n,reliable
digestive,125,0.688,0.3796821699073001,25.8,1
great_vessel,143,0.8391608391608392,0.5436364049897912,30.4,1
heart,20,0.9,0.36205518594095276,4.0,1
lung,46,0.8913043478260869,0.1932479104226315,9.6,1
muscle,179,0.8156424581005587,0.3460629437497847,44.0,1
neuro,48,0.8541666666666666,0.24848522322706704,10.4,1
pelvic_bone,61,0.7704918032786885,0.35727177316310854,16.6,1
reproductive,4,0.75,0.4671245831657936,1.0,0
shoulder_bone,47,0.723404255319149,0.5249877810971253,14.2,1
solid_abdominal,86,0.8023255813953488,0.4326819108732959,16.4,1
urinary,92,0.8478260869565217,0.5233586047715767,18.4,1
vertebrae,78,0.8333333333333334,0.40791229797135936,16.6,1
