alpha,nominal,variant,coverage,mean_width,median_width,spearman_width_err
0.2,0.8,uncalibrated (raw quantiles),0.4607104413347686,0.23762846391475068,0.21165627821364552,0.41671598294696605
0.2,0.8,CQR global,0.8019375672766416,0.38280524886345824,0.3569365362811153,0.4123507307621858
0.2,0.8,"CQR global (clipped [0,1])",0.8019375672766416,0.3771670757897562,0.3550009467802975,0.42648002580790323
0.2,0.8,Mondrian (per-family),0.8051668460710442,0.42944431971813685,0.40414414467661164,0.35265533850515723
0.2,0.8,"Mondrian (clipped [0,1])",0.8051668460710442,0.4098133905482837,0.39048703853885924,0.3849357014018089
0.1,0.9,uncalibrated (raw quantiles),0.6759956942949408,0.47066946967934403,0.43135713188798036,0.20245470449319397
0.1,0.9,CQR global,0.8955866523143164,0.5964143681440024,0.5846731644571765,0.21597008312641183
0.1,0.9,"CQR global (clipped [0,1])",0.8955866523143164,0.5832170058124759,0.5753484269797459,0.22043530817646106
0.1,0.9,Mondrian (per-family),0.9203444564047363,0.6992929967324955,0.7361060271206977,0.17858247742311076
0.1,0.9,"Mondrian (clipped [0,1])",0.9203444564047363,0.6474971263510644,0.6848592854976624,0.21622463028878036
