family,n,coverage,mean_width
neuro,48,0.4166666666666667,0.12621970883037414
lung,46,0.41304347826086957,0.13320571743480084
heart,20,0.4,0.14488093368626956
vertebrae,78,0.5512820512820513,0.18281457189474928
muscle,179,0.35195530726256985,0.21358720132765524
pelvic_bone,61,0.5409836065573771,0.21993993360049433
solid_abdominal,86,0.3953488372093023,0.22136089666498784
digestive,125,0.48,0.24960687634613893
urinary,92,0.391304347826087,0.26255876489287167
great_vessel,143,0.4125874125874126,0.304750257351145
shoulder_bone,47,0.6382978723404256,0.3291781873699484
reproductive,4,0.5,0.35119561710719593
