organ,n,median_vol_mL,radius_mm,tol_mm,spacing_mm,tol_voxels
brain,9,1372.91,68.95,2.298,1.0,2.298
liver,24,990.8,61.84,2.061,1.545,1.334
lung_right,23,760.93,56.64,1.888,1.549,1.219
lung_left,21,676.42,54.46,1.815,1.56,1.164
heart,20,403.51,45.84,1.528,1.564,0.977
small_bowel,24,277.33,40.45,1.348,1.564,0.862
colon,29,260.55,39.62,1.321,1.549,0.853
gluteus_maximus_right,8,259.91,39.59,1.32,1.542,0.856
stomach,23,201.31,36.36,1.212,1.549,0.783
spleen,22,195.98,36.03,1.201,1.554,0.773
gluteus_maximus_left,8,193.45,35.88,1.196,1.584,0.755
autochthon_left,31,175.66,34.74,1.158,1.541,0.751
autochthon_right,32,158.13,33.55,1.118,1.536,0.728
femur_right,7,154.71,33.3,1.11,1.617,0.686
femur_left,7,144.93,32.59,1.086,1.617,0.672
vertebrae,38,136.87,31.97,1.066,1.437,0.742
kidney_left,22,115.19,30.18,1.006,1.554,0.647
sacrum,13,110.08,29.73,0.991,1.458,0.68
kidney_right,22,108.98,29.63,0.988,1.554,0.635
iliopsoas_right,26,88.48,27.64,0.921,1.511,0.61
urinary_bladder,5,86.24,27.41,0.914,1.617,0.565
iliopsoas_left,25,79.51,26.68,0.889,1.549,0.574
intervertebral_discs,37,66.79,25.17,0.839,1.437,0.584
hip_right,16,64.18,24.84,0.828,1.584,0.523
gluteus_medius_right,11,60.36,24.33,0.811,1.458,0.556
aorta,26,55.27,23.63,0.788,1.536,0.513
hip_left,15,52.83,23.28,0.776,1.549,0.501
scapula_right,6,46.31,22.28,0.743,1.674,0.444
gluteus_medius_left,11,45.74,22.19,0.74,1.549,0.478
scapula_left,6,45.24,22.1,0.737,1.674,0.44
pancreas,20,42.99,21.73,0.724,1.554,0.466
spinal_cord,39,38.14,20.88,0.696,1.437,0.484
gluteus_minimus_left,5,35.33,20.36,0.679,1.701,0.399
humerus_left,9,32.39,19.77,0.659,1.674,0.394
humerus_right,8,31.93,19.68,0.656,1.646,0.399
inferior_vena_cava,23,30.82,19.45,0.648,1.549,0.419
duodenum,22,22.78,17.59,0.586,1.554,0.377
gluteus_minimus_right,8,22.14,17.42,0.581,1.542,0.377
gallbladder,12,18.81,16.5,0.55,1.554,0.354
portal_vein_and_splenic_vein,20,13.2,14.66,0.489,1.554,0.314
clavicula_right,7,8.62,12.72,0.424,1.674,0.253
esophagus,22,8.3,12.56,0.419,1.554,0.269
clavicula_left,7,6.29,11.45,0.382,1.674,0.228
prostate,4,5.71,11.09,0.37,1.66,0.223
iliac_vena_left,13,4.61,10.33,0.344,1.617,0.213
iliac_artery_left,11,4.09,9.92,0.331,1.617,0.205
iliac_vena_right,14,3.67,9.57,0.319,1.584,0.201
iliac_artery_right,11,2.87,8.82,0.294,1.617,0.182
adrenal_gland_left,19,2.84,8.78,0.293,1.549,0.189
adrenal_gland_right,18,1.91,7.7,0.257,1.545,0.166
