kind,group,auc,delta_auc
drop_group,size,0.7663487513093336,-0.019168642152268545
drop_group,position,0.7793979822481945,-0.006119411213407644
drop_group,extent,0.78951430619108,0.003996912729477886
drop_group,component,0.7769777826782072,-0.008539610783394935
drop_group,boundary,0.7851480235955676,-0.00036936986603453015
drop_group,intensity,0.781084955069188,-0.00443243839241414
only_group,size,0.7225315618281052,-0.06298583163349691
only_group,position,0.6068140470808754,-0.1787033463807267
only_group,extent,0.729163680467501,-0.05635371299410108
only_group,component,0.6075031699652681,-0.178014223496334
only_group,boundary,0.55407409449253,-0.23144329896907212
only_group,intensity,0.5434147417167429,-0.24210265174485923
