family,n,coverage,mean_width,avg_cal_n,reliable
digestive,125,0.64,0.32291866503887995,25.8,1
great_vessel,143,0.8391608391608392,0.5592504671661931,30.4,1
heart,20,0.8,0.3854555688132251,4.0,1
lung,46,0.8260869565217391,0.17696150372173633,9.6,1
muscle,179,0.8100558659217877,0.36796673692000986,44.0,1
neuro,48,0.8333333333333334,0.21345940291017715,10.4,1
pelvic_bone,61,0.7868852459016393,0.33984518945920683,16.6,1
reproductive,4,0.75,0.3748004025612037,1.0,0
shoulder_bone,47,0.7659574468085106,0.5253867328928528,14.2,1
solid_abdominal,86,0.7790697674418605,0.41937845189432366,16.4,1
urinary,92,0.782608695652174,0.5071421698624863,18.4,1
vertebrae,78,0.8461538461538461,0.36984987208197756,16.6,1
