subject,organ,iou,pred_iou_HistGB,pred_iou_RandomForest
s0316,adrenal_gland_left,0.4225,0.6263560500872819,0.5920313536315531
s0316,adrenal_gland_right,0.7915,0.5249621660366702,0.545974911243386
s0316,aorta,0.8459,0.7677994382152633,0.7232122313492065
s0316,autochthon_left,0.9065,0.914318153439623,0.9246837750000009
s0316,autochthon_right,0.8492,0.8619278674918779,0.8908178809523806
s0316,colon,0.583,0.4812904644430979,0.5628067742063491
s0316,duodenum,0.7838,0.7355005778503247,0.6874858654761905
s0316,esophagus,0.7201,0.6012650181338608,0.42561731028138544
s0316,gallbladder,0.0,0.0,0.051044756481481525
s0316,gluteus_medius_left,0.2542,0.7276774584438712,0.7360761722222222
s0316,gluteus_medius_right,0.1145,0.3251937634645647,0.2744696108465609
s0316,gluteus_minimus_right,0.1169,0.40946192729865877,0.44117620357142895
s0316,heart,0.8022,0.8368948975336649,0.843362903174603
s0316,hip_left,0.5888,0.82184810335162,0.7988910142857146
s0316,hip_right,0.6442,0.8423865343596358,0.812787760846561
s0316,iliac_artery_left,0.6371,0.5723836435900828,0.4488347741702743
s0316,iliac_artery_right,0.662,0.43766175897383164,0.4795935996031746
s0316,iliac_vena_left,0.0,0.06718260816874232,0.0651893222222222
s0316,iliac_vena_right,0.3625,0.3494290686634407,0.21287400462962966
s0316,iliopsoas_left,0.8199,0.8711386847955438,0.8664930571428575
s0316,iliopsoas_right,0.774,0.954056011474875,0.8777102115079367
s0316,inferior_vena_cava,0.852,0.797453793162026,0.7689214683862439
s0316,intervertebral_discs,0.7281,0.8100641034561179,0.7556752601851845
s0316,kidney_left,0.9084,0.8569810623760132,0.8826069469576722
s0316,kidney_right,0.3709,0.8828305282839255,0.8466399500000008
s0316,liver,0.8384,0.8424914385035865,0.8983244476190474
s0316,lung_left,0.9289,0.9362243609787498,0.9478981297619049
s0316,lung_right,0.9256,0.9235327697628,0.9350985154761906
s0316,pancreas,0.5585,0.6663620938086913,0.6899295014550265
s0316,portal_vein_and_splenic_vein,0.6446,0.5559362197592941,0.5690310552910052
s0316,sacrum,0.7512,0.7701197222916104,0.7678186373015872
s0316,small_bowel,0.7881,0.5738273122451049,0.6539380730158726
s0316,spinal_cord,0.8043,0.8184841526922157,0.7994945781746036
s0316,spleen,0.8617,0.8365989627600746,0.8956100678571437
s0316,stomach,0.8425,0.6696040561120779,0.7284221960317461
s0316,urinary_bladder,0.0997,0.30018642213289215,0.42293720502645527
s0316,vertebrae,0.8383,0.8630330102796938,0.8277831599206348
s0142,aorta,0.1449,0.6852462499388234,0.6837493264041512
s0142,autochthon_left,0.4409,0.6236011371279115,0.6344817757936508
s0142,autochthon_right,0.3716,0.36912809753995424,0.5127551759259262
s0142,clavicula_left,0.0,0.01888167262604197,0.0803577
s0142,esophagus,0.128,0.2956362590874257,0.27281286746031747
s0142,iliopsoas_left,0.0,0.15131923445470438,0.10254890793650803
s0142,inferior_vena_cava,0.0,0.08443470108873861,0.24404744126984124
s0142,intervertebral_discs,0.8074,0.8262267744081451,0.7335621206349202
s0142,lung_left,0.0,0.3355491437988557,0.39544989801587327
s0142,spinal_cord,0.8683,0.8639880605990474,0.8204299678210677
s0142,vertebrae,0.8917,0.8599469862673133,0.8263508534391538
s0515,adrenal_gland_left,0.8278,0.6609174886000336,0.6687456215608468
s0515,adrenal_gland_right,0.7756,0.4687792095213194,0.4915920134920636
s0515,aorta,0.8947,0.9103635285971098,0.8661792339947093
s0515,autochthon_left,0.9339,0.8001262592180561,0.880140169348244
s0515,autochthon_right,0.9256,0.8299225547022816,0.8875419534752281
s0515,clavicula_left,0.5139,0.5893478301212048,0.5459823503968255
s0515,clavicula_right,0.5591,0.40440909712625883,0.3687517349206348
s0515,colon,0.9227,0.7150321963896359,0.6516312482323232
s0515,duodenum,0.9007,0.9461199854519743,0.7088198924603174
s0515,esophagus,0.781,0.6572862750564928,0.7218929289321788
s0515,gallbladder,0.8282,0.6617084649226564,0.614652627152477
s0515,heart,0.824,0.8577843717362292,0.8989352390211639
s0515,humerus_left,0.8172,0.7415090094921123,0.7829436068903319
s0515,humerus_right,0.7462,0.6519634077683297,0.6327534750000001
s0515,inferior_vena_cava,0.91,0.8481361487128338,0.8332480805555554
s0515,intervertebral_discs,0.3993,0.7853842957857652,0.7423643449735453
s0515,kidney_left,0.9317,0.8818451670071419,0.7738292222222217
s0515,kidney_right,0.7831,0.8472965668128524,0.7655715875180371
s0515,liver,0.9571,0.969193829672575,0.9408776805555558
s0515,lung_left,0.9657,0.9601487605112288,0.9508226966931216
s0515,lung_right,0.9673,0.9655057141033851,0.9632239765873012
s0515,pancreas,0.8882,0.7764813438737951,0.7891032578042327
s0515,portal_vein_and_splenic_vein,0.8507,0.7011927194426065,0.634510160714285
s0515,scapula_left,0.6557,0.6433949056820208,0.6561746361111109
s0515,scapula_right,0.6546,0.804762847262523,0.6560734279942277
s0515,small_bowel,0.9036,0.8510980605258389,0.7642790563492058
