family,n,coverage,mean_width
lung,46,0.43478260869565216,0.08904957044959037
heart,20,0.35,0.12402686018562523
neuro,48,0.4791666666666667,0.1454906572889538
vertebrae,78,0.5128205128205128,0.17818154622799426
muscle,179,0.39106145251396646,0.2113833948732001
solid_abdominal,86,0.4069767441860465,0.21455888040546595
pelvic_bone,61,0.5737704918032787,0.23349477012297803
digestive,125,0.488,0.24906767537601998
urinary,92,0.4673913043478261,0.2596069548758116
great_vessel,143,0.4195804195804196,0.29463474326378375
reproductive,4,0.25,0.32305694085141057
shoulder_bone,47,0.6595744680851063,0.35277341357134806
