kind,group,auc,delta_auc
drop_group,size,0.7594685484315562,-0.021616406637631758
drop_group,position,0.7760736534538839,-0.0050113016153040535
drop_group,extent,0.7801697998787144,-0.0009151551904735822
drop_group,component,0.7726059870996196,-0.008478967969568374
drop_group,boundary,0.7760240366062076,-0.005060918462980402
only_group,size,0.7225315618281052,-0.058553393241082774
only_group,position,0.6068140470808754,-0.17427090798831257
only_group,extent,0.729163680467501,-0.05192127460168694
only_group,component,0.6075031699652681,-0.17358178510391986
only_group,boundary,0.55407409449253,-0.22701086057665798
